fwhm	896.7896389624932-20°C	896.7896389624932-30°C	896.7896389624932-40°C	896.7896389624932-50°C	896.7896389624932-60°C	896.7896389624932-70°C
1.908583334000000104e+04	3.741122527494262617e-03	4.085496888158766243e-03	4.768608515534523626e-03	5.135848107806526008e-03	7.731680956064850008e-03	1.305202680220003859e-02
1.907638560000000143e+04	3.868764050563390077e-03	4.222324455855516051e-03	4.922839434826332093e-03	5.299187273917206967e-03	7.952865841147552586e-03	1.337117355026927815e-02
1.906694752000000153e+04	4.000193424157996031e-03	4.363145090713780802e-03	5.081416541509991419e-03	5.467056086513380313e-03	8.179497253493192566e-03	1.369684042458298862e-02
1.905751907999999821e+04	4.135508209240664271e-03	4.508061448053772742e-03	5.244449283882548531e-03	5.639567929418501206e-03	8.411696855465411807e-03	1.402914652340347436e-02
1.904810024999999951e+04	4.274808730095432628e-03	4.657179238312530306e-03	5.412050497469077064e-03	5.816839785421971248e-03	8.649590207177837789e-03	1.436821484059915173e-02
1.903869104000000152e+04	4.418197449429991930e-03	4.810606570649788964e-03	5.584335673008149377e-03	5.998991466338469102e-03	8.893305698035600462e-03	1.471417067434614701e-02
1.902929142000000138e+04	4.565780286251486242e-03	4.968455376551908671e-03	5.761424561707083856e-03	6.186147314926354439e-03	9.142976790581515759e-03	1.506714474840658950e-02
1.901990137999999934e+04	4.717665868869428888e-03	5.130840623555705561e-03	5.943440296627468603e-03	6.378435279561184973e-03	9.398740736058569176e-03	1.542727130072450714e-02
1.901052089999999953e+04	4.873966150689892397e-03	5.297880987888611663e-03	6.130510152692525763e-03	6.575987721525692643e-03	9.660739607769560158e-03	1.579468946281353120e-02
1.900114996999999858e+04	5.034796254158742899e-03	5.469698701919746553e-03	6.322765380473421154e-03	6.778941243173099845e-03	9.929120024250117152e-03	1.616954278067339601e-02
1.899178858000000037e+04	5.200274804776821094e-03	5.646419926000716821e-03	6.520341627532086869e-03	6.987437136647173599e-03	1.020403369507149119e-02	1.655197989044194379e-02
1.898243671000000177e+04	5.370524308304136345e-03	5.828175166339343884e-03	6.723379409658665311e-03	7.201621884471943666e-03	1.048563802609897393e-02	1.694215526140903372e-02
1.897309433999999965e+04	5.545671194421145263e-03	6.015099336833117268e-03	6.932024183141948827e-03	7.421647238634651936e-03	1.077409616337127694e-02	1.734022914956677083e-02
1.896376147000000128e+04	5.725845647611712760e-03	6.207331594450099348e-03	7.146426164747208057e-03	7.647670033725233185e-03	1.106957668988188884e-02	1.774636707777381764e-02
1.895443807000000015e+04	5.911182795943449239e-03	6.405016623567755946e-03	7.366741767113112183e-03	7.879853702642530128e-03	1.137225554467044542e-02	1.816074236658557842e-02
1.894512413000000015e+04	6.101822013976137757e-03	6.608303907939863317e-03	7.593132787722137352e-03	8.118367423108655348e-03	1.168231483488885690e-02	1.858353437869600389e-02
1.893581965000000127e+04	6.297907349146145313e-03	6.817348201764308370e-03	7.825766935648936426e-03	8.363386674473316171e-03	1.199994349431096792e-02	1.901492931014862192e-02
1.892652459000000090e+04	6.499588879947336070e-03	7.032310993295131860e-03	8.064819459434402829e-03	8.615094952595835770e-03	1.232533942674017557e-02	1.945512297025996790e-02
1.891723895999999877e+04	6.707021112518981622e-03	7.253358811088155521e-03	8.310471260602218455e-03	8.873681782755715730e-03	1.265870684889254354e-02	1.990431704286031028e-02
1.890796272999999928e+04	6.920365247481328336e-03	7.480665655378615150e-03	8.562911594393651793e-03	9.139345562307566936e-03	1.300025987882554197e-02	2.036272380472128538e-02
1.889869589999999880e+04	7.139787981779849996e-03	7.714411735787721561e-03	8.822336661336497785e-03	9.412292075679788012e-03	1.335022052534799372e-02	2.083056326596436497e-02
1.888943844000000172e+04	7.365463261998817651e-03	7.954785353373945364e-03	9.088951690278110340e-03	9.692736683191162037e-03	1.370882140243162226e-02	2.130806666076566144e-02
1.888019034000000102e+04	7.597571513449617904e-03	8.201982092459760357e-03	9.362970031796112591e-03	9.980903362486451616e-03	1.407630439238494700e-02	2.179547449728742869e-02
1.887095159000000058e+04	7.836300512452144124e-03	8.456205762044975358e-03	9.644614191754850852e-03	1.027702579016932967e-02	1.445292192286441214e-02	2.229303810416210022e-02
1.886172218000000066e+04	8.081845830321832819e-03	8.717668879584252253e-03	9.934116353539463110e-03	1.058134788364544984e-02	1.483893754064744344e-02	2.280102022192664890e-02
1.885250207999999839e+04	8.334411859249319168e-03	8.986593772877343039e-03	1.023171958106906809e-02	1.089412505667411088e-02	1.523462737903565588e-02	2.331969675482587975e-02
1.884329130000000077e+04	8.594210674514551548e-03	9.263211376493595342e-03	1.053767646711722614e-02	1.121562278810553370e-02	1.564027821750305428e-02	2.384935404628129099e-02
1.883408980000000156e+04	8.861465046696534453e-03	9.547764445089760438e-03	1.085225266562318304e-02	1.154612032151673684e-02	1.605619202149718636e-02	2.439029463557463792e-02
1.882489758000000074e+04	9.136406478104442883e-03	9.840505466578948479e-03	1.117572455625796650e-02	1.188590819632561087e-02	1.648268267985569108e-02	2.494283279808424264e-02
1.881571462999999858e+04	9.419277175991936507e-03	1.014169876454707429e-02	1.150838153917389459e-02	1.223529064225643490e-02	1.692007887487916723e-02	2.550729809473811782e-02
1.880654091999999946e+04	9.710331032529285686e-03	1.045162154049941033e-02	1.185052715046057067e-02	1.259458673136852266e-02	1.736872535969550407e-02	2.608403680293174681e-02
1.879737644999999975e+04	1.000983270859895184e-02	1.077056289407360250e-02	1.220247794094475764e-02	1.296412917883782434e-02	1.782898129260210296e-02	2.667340956043305275e-02
1.878822120999999970e+04	1.031805953411398837e-02	1.109882583892428387e-02	1.256456565818160620e-02	1.334426661010456455e-02	1.830122289906527949e-02	2.727579458146257851e-02
1.877907517000000007e+04	1.063530261880723388e-02	1.143672847467500087e-02	1.293713848902115771e-02	1.373536483777826507e-02	1.878584486895890776e-02	2.789158920318650717e-02
1.876993832000000111e+04	1.096186625179090650e-02	1.178460333236407837e-02	1.332056028263299378e-02	1.413780601551301204e-02	1.928325911336577908e-02	2.852120806967128885e-02
1.876081065999999919e+04	1.129806894929180801e-02	1.214279847063062627e-02	1.371521169956581299e-02	1.455198981093526467e-02	1.979389602788932806e-02	2.916508452142203833e-02
1.875169215999999869e+04	1.164424575084461663e-02	1.251167989787491802e-02	1.412149281367056086e-02	1.497833609935736270e-02	2.031820760643528873e-02	2.982367428302777970e-02
1.874258281999999963e+04	1.200074685654616696e-02	1.289163009115776824e-02	1.453982140680053214e-02	1.541728313347723485e-02	2.085666496733401543e-02	3.049745209827984041e-02
1.873348260999999911e+04	1.236794079006192475e-02	1.328305133207876958e-02	1.497063656257302360e-02	1.586929127028932282e-02	2.140976270995328598e-02	3.118691695113176565e-02
1.872439153000000078e+04	1.274621296793235735e-02	1.368636414149913133e-02	1.541439685550370468e-02	1.633484102272873481e-02	2.197801628968875862e-02	3.189258852580914572e-02
1.871530956000000151e+04	1.313596864050152989e-02	1.410201036764318142e-02	1.587158365528255552e-02	1.681443647430218291e-02	2.256196595590023724e-02	3.261501186265627905e-02
1.870623669000000154e+04	1.353763266294126522e-02	1.453045288888115891e-02	1.634270069654313387e-02	1.730860477110869600e-02	2.316217587534966788e-02	3.335475599849891531e-02
1.869717291000000114e+04	1.395165091414589560e-02	1.497217706632678925e-02	1.682827556605535554e-02	1.781789762115445347e-02	2.377923570003569534e-02	3.411241564582118135e-02
1.868811819000000105e+04	1.437849231019668050e-02	1.542769282442273127e-02	1.732886187031372829e-02	1.834289350238769642e-02	2.441376297008483048e-02	3.488861386688814348e-02
1.867907253000000128e+04	1.481864757643695449e-02	1.589753326509187742e-02	1.784503758435842385e-02	1.888419586095814104e-02	2.506640065555134494e-02	3.568399878823111382e-02
1.867003591999999844e+04	1.527263218202608124e-02	1.638225771516594112e-02	1.837740826442004968e-02	1.944243640598398645e-02	2.573782085937996802e-02	3.649924786880546362e-02
1.866100833000000057e+04	1.574098809852676056e-02	1.688245351238271130e-02	1.892660886241165352e-02	2.001827693239074252e-02	2.642872670561045856e-02	3.733506989647922963e-02
1.865198976000000039e+04	1.622428243507566259e-02	1.739873444676791336e-02	1.949330185869566773e-02	2.061240727850472201e-02	2.713984958266123931e-02	3.819220136658495884e-02
1.864298020000000179e+04	1.672311064497378902e-02	1.793174407423783062e-02	2.007818073576411733e-02	2.122554887893475864e-02	2.787195310290881828e-02	3.907141100520439281e-02
1.863397961999999825e+04	1.723809843556686761e-02	1.848215763812098913e-02	2.068197191069106808e-02	2.185845669551618811e-02	2.862583507911314190e-02	3.997350184011441016e-02
1.862498802000000069e+04	1.776990022453124596e-02	1.905068028967735194e-02	2.130543259773999901e-02	2.251191687704725761e-02	2.940232440698157743e-02	4.089930717956991729e-02
1.861600537999999869e+04	1.831920324778384124e-02	1.963805133851331125e-02	2.194935527621113061e-02	2.318675133789451642e-02	3.020228618873757598e-02	4.184969646546947419e-02
1.860703168999999980e+04	1.888672714609952383e-02	2.024504366098841407e-02	2.261456683586386684e-02	2.388381675217930017e-02	3.102662019138093322e-02	4.282557314025110112e-02
1.859806694000000061e+04	1.947322585740718717e-02	2.087246556273085821e-02	2.330193040395942689e-02	2.460400635372405123e-02	3.187626263784543862e-02	4.382787649891797116e-02
1.858911111000000164e+04	2.007948965017224141e-02	2.152116278259426016e-02	2.401234731537592315e-02	2.534825188025475670e-02	3.275218814701556097e-02	4.485758369194828982e-02
1.858016417999999976e+04	2.070634588827892711e-02	2.219201912928440643e-02	2.474675757390031386e-02	2.611752393146665394e-02	3.365540979106023539e-02	4.591570949997831469e-02
1.857122615999999834e+04	2.135465819248561631e-02	2.288595539023538863e-02	2.550613841437575011e-02	2.691283033385191703e-02	3.458697682535227108e-02	4.700330341561433090e-02
1.856229702000000179e+04	2.202533277742620491e-02	2.360393591006272260e-02	2.629151124886425911e-02	2.773522328189283181e-02	3.554798269986598341e-02	4.812145874177789495e-02
1.855337673999999970e+04	2.271931639015033894e-02	2.434696617044006944e-02	2.710393875155802518e-02	2.858579614507819611e-02	3.653956092949881690e-02	4.927130746518050552e-02
1.854446532999999908e+04	2.343759591616908014e-02	2.511609214199575155e-02	2.794452388033247595e-02	2.946568230172211603e-02	3.756288338347980177e-02	5.045401803865931512e-02
1.853556275000000096e+04	2.418120610497406786e-02	2.591240832049635651e-02	2.881441837959782676e-02	3.037606389291021627e-02	3.861917010189168387e-02	5.167080647765685125e-02
1.852666901000000144e+04	2.495122285399257664e-02	2.673705028929733787e-02	2.971481436188982972e-02	3.131816285960810353e-02	3.970967849627948798e-02	5.292292362000857592e-02
1.851778408000000127e+04	2.574877198744722137e-02	2.759120386399708386e-02	3.064695400063065928e-02	3.229325093248736067e-02	4.083571457047929787e-02	5.421166780814996866e-02
1.850890796000000046e+04	2.657502457329326273e-02	2.847609981146272812e-02	3.161212345812244862e-02	3.330264312064415422e-02	4.199862500188313030e-02	5.553837553928673426e-02
1.850004061999999976e+04	2.743120359187494958e-02	2.939302071646449771e-02	3.261166006733290379e-02	3.434770506373249072e-02	4.319980525702291074e-02	5.690443051225162197e-02
1.849118206999999893e+04	2.831857856674835708e-02	3.034329494764707522e-02	3.364694543506627222e-02	3.542984565729694751e-02	4.444069073313271917e-02	5.831125330202344831e-02
1.848233227999999872e+04	2.923847448658424900e-02	3.132830592019064664e-02	3.471941521678249126e-02	3.655052710807497190e-02	4.572276794823623702e-02	5.976031386148135394e-02
1.847349123999999938e+04	3.019226712219486020e-02	3.234948678083484491e-02	3.583055299622512485e-02	3.771125836883176818e-02	4.704756663472229455e-02	6.125312231866432422e-02
1.846465894000000117e+04	3.118138600530269422e-02	3.340832329140129564e-02	3.698189309866803387e-02	3.891359791272820667e-02	4.841666257340333790e-02	6.279123199902894581e-02
1.845583536000000095e+04	3.220731663095222769e-02	3.450635587377421515e-02	3.817502248174225316e-02	4.015915553995269560e-02	4.983167929779232924e-02	6.437624113827759842e-02
