Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	9.193726197787474495e-12	9.737703823150102665e-05
1.998799624000000040e+04	1.111930680682722240e-11	1.022752037925483672e-04
1.997760411999999997e+04	1.343576028498430774e-11	1.073982458658787130e-04
1.996722313999999824e+04	1.621982528678807666e-11	1.127553794827024507e-04
1.995685327999999936e+04	1.956278361101148893e-11	1.183561551664146731e-04
1.994649451000000045e+04	2.357311208842421389e-11	1.242104647764569907e-04
1.993614682000000175e+04	2.837958620721194226e-11	1.303285341360396819e-04
1.992581019999999990e+04	3.413493956971851167e-11	1.367209426237520628e-04
1.991548461999999927e+04	4.102016339901828678e-11	1.433986460656362497e-04
1.990517007000000012e+04	4.924950500478461600e-11	1.503729619165772779e-04
1.989486652999999933e+04	5.907636053211219222e-11	1.576555980435143762e-04
1.988457398000000103e+04	7.080013927397166673e-11	1.652586569571290194e-04
1.987429239999999845e+04	8.477428676040011235e-11	1.731946462561146445e-04
1.986402178999999887e+04	1.014156108018372036e-10	1.814764727545913829e-04
1.985376210999999967e+04	1.212152862131586038e-10	1.901175012348811384e-04
1.984351335000000108e+04	1.447514545762949138e-10	1.991315097886432533e-04
1.983327549999999974e+04	1.727040389581535474e-10	2.085327234157147440e-04
1.982304853000000003e+04	2.058719884415151672e-10	2.183358447020346130e-04
1.981283242999999857e+04	2.451931160038801210e-10	2.285560284471349591e-04
1.980262718999999925e+04	2.917672719027975342e-10	2.392089102652617167e-04
1.979243277999999918e+04	3.468832655496845872e-10	2.503106403541589743e-04
1.978224918999999863e+04	4.120497254607446202e-10	2.618778535338179376e-04
1.977207640000000174e+04	4.890311451181298171e-10	2.739277127261289645e-04
1.976191439000000173e+04	5.798893323699953572e-10	2.864779108445335743e-04
1.975176314999999886e+04	6.870311926942507959e-10	2.995466698930823930e-04
1.974162266000000091e+04	8.132641371909765082e-10	3.131527779616758464e-04
1.973149290000000110e+04	9.618596560629200967e-10	3.273155901165259092e-04
1.972137385999999969e+04	1.136626389973111336e-09	3.420550261437892993e-04
1.971126551000000109e+04	1.341994871888389663e-09	3.573916266359332275e-04
1.970116785000000164e+04	1.583113353100566542e-09	3.733464913851237662e-04
1.969108084999999846e+04	1.865960100160748559e-09	3.899413833144089537e-04
1.968100449999999910e+04	2.197469643753136723e-09	4.071986639772156029e-04
1.967093878000000041e+04	2.585679423440071710e-09	4.251413543536899193e-04
1.966088366999999926e+04	3.039896573835665493e-09	4.437931325674083832e-04
1.965083915999999954e+04	3.570888313596846394e-09	4.631783274806282975e-04
1.964080523000000176e+04	4.191100941785408330e-09	4.833219690412952755e-04
1.963078186999999889e+04	4.914907643325272856e-09	5.042497629281680318e-04
1.962076904999999897e+04	5.758894406864209328e-09	5.259881661937353342e-04
1.961076675999999861e+04	6.742180408754298612e-09	5.485643171919591960e-04
1.960077497999999832e+04	7.886788136123989852e-09	5.720061121225166866e-04
1.959079371000000174e+04	9.218058165525519740e-09	5.963421484323837111e-04
1.958082290999999896e+04	1.076513202104484609e-08	6.216018836621699673e-04
1.957086258000000089e+04	1.256148055765474190e-08	6.478154538550006097e-04
1.956091269000000102e+04	1.464552559521225073e-08	6.750138621374580190e-04
1.955097323999999935e+04	1.706132117315095762e-08	7.032288341364449982e-04
1.954104420000000027e+04	1.985934957607366012e-08	7.324929955297271832e-04
1.953112556000000041e+04	2.309739562205293490e-08	7.628397461562918831e-04
1.952121730000000025e+04	2.684155454447032658e-08	7.943033591724028668e-04
1.951131941000000006e+04	3.116735406346869898e-08	8.269189331085715841e-04
1.950143187000000034e+04	3.616103446301697460e-08	8.607224686494789959e-04
1.949155466000000160e+04	4.192097915116301373e-08	8.957508519480850574e-04
1.948168777000000046e+04	4.855932067443135054e-08	9.320418304363656042e-04
1.947183118000000104e+04	5.620376555470787407e-08	9.696340967641755909e-04
1.946198487999999998e+04	6.499961701382551003e-08	1.008567228038928813e-03
1.945214884000000166e+04	7.511208667773632532e-08	1.048881816602962756e-03
1.944232305999999880e+04	8.672880839538236719e-08	1.090619281339468786e-03
