Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	5.370488152713095674e-12	8.289470166222742123e-05
1.998799624000000040e+04	6.529457636245586839e-12	8.714008198135065892e-05
1.997760411999999997e+04	7.930964707856205878e-12	9.158418699297758952e-05
1.996722313999999824e+04	9.624131078090089004e-12	9.623533756650894154e-05
1.995685327999999936e+04	1.166768899662251065e-11	1.011021646657148831e-04
1.994649451000000045e+04	1.413179207844886362e-11	1.061936152724985089e-04
1.993614682000000175e+04	1.710014625814386117e-11	1.115189468117444972e-04
1.992581019999999990e+04	2.067253385017990407e-11	1.170877450271285986e-04
1.991548461999999927e+04	2.496779357482914098e-11	1.229099448052576693e-04
1.990517007000000012e+04	3.012730526378801239e-11	1.289958181622049172e-04
1.989486652999999933e+04	3.631911519038152132e-11	1.353560002428742120e-04
1.988457398000000103e+04	4.374276745841520762e-11	1.420014939593966584e-04
1.987429239999999845e+04	5.263497838805437603e-11	1.489436800664211324e-04
1.986402178999999887e+04	6.327626729392319578e-11	1.561943129719351407e-04
1.985376210999999967e+04	7.599880904888148866e-11	1.637655731519504219e-04
1.984351335000000108e+04	9.119548503963163551e-11	1.716700290776175259e-04
1.983327549999999974e+04	1.093305635757889415e-10	1.799206676403205499e-04
1.982304853000000003e+04	1.309521904341715503e-10	1.885309221331613733e-04
1.981283242999999857e+04	1.567068405462051743e-10	1.975146510524117499e-04
1.980262718999999925e+04	1.873562660411403086e-10	2.068861642719448265e-04
1.979243277999999918e+04	2.237972743730827631e-10	2.166602538682214235e-04
1.978224918999999863e+04	2.670845297427761826e-10	2.268521688896192926e-04
1.977207640000000174e+04	3.184572812203007690e-10	2.374776547645141087e-04
1.976191439000000173e+04	3.793702569192631306e-10	2.485529561507361434e-04
1.975176314999999886e+04	4.515294469651711348e-10	2.600948173046516848e-04
1.974162266000000091e+04	5.369337619096418025e-10	2.721205159311696842e-04
1.973149290000000110e+04	6.379230700699150962e-10	2.846478652139980089e-04
1.972137385999999969e+04	7.572336676163560130e-10	2.976952130391138582e-04
1.971126551000000109e+04	8.980628401293201082e-10	3.112814928891932762e-04
1.970116785000000164e+04	1.064142317119491792e-09	3.254261705607581416e-04
1.969108084999999846e+04	1.259824541209581307e-09	3.401493375311993189e-04
1.968100449999999910e+04	1.490180292076409005e-09	3.554716551148180779e-04
1.967093878000000041e+04	1.761112403749320070e-09	3.714144097083140199e-04
1.966088366999999926e+04	2.079485755468230997e-09	3.879995121413627214e-04
1.965083915999999954e+04	2.453276320050614123e-09	4.052494933229846717e-04
1.964080523000000176e+04	2.891743217996121111e-09	4.231875503929724623e-04
1.963078186999999889e+04	3.405624414896824928e-09	4.418375255571692275e-04
1.962076904999999897e+04	4.007363190769673411e-09	4.612239748997725894e-04
1.961076675999999861e+04	4.711363424541588508e-09	4.813721073713647138e-04
1.960077497999999832e+04	5.534285258434720236e-09	5.023078544673085545e-04
1.959079371000000174e+04	6.495378323194936233e-09	5.240578211369945278e-04
1.958082290999999896e+04	7.616870263962526319e-09	5.466494292040987657e-04
1.957086258000000089e+04	8.924395301052509229e-09	5.701107565631289599e-04
1.956091269000000102e+04	1.044749845569289859e-08	5.944707073127629849e-04
1.955097323999999935e+04	1.222019234888206094e-08	6.197588838665103479e-04
1.954104420000000027e+04	1.428160817930276907e-08	6.460057475086824000e-04
1.953112556000000041e+04	1.667671581030682903e-08	6.732425071503709635e-04
1.952121730000000025e+04	1.945715531550494968e-08	7.015012097758768902e-04
1.951131941000000006e+04	2.268216774818397187e-08	7.308146989770458258e-04
1.950143187000000034e+04	2.641965978507845758e-08	7.612166854899593896e-04
1.949155466000000160e+04	3.074739919719929102e-08	7.927417338378853337e-04
1.948168777000000046e+04	3.575436239597298050e-08	8.254252421215147514e-04
1.947183118000000104e+04	4.154226974683643929e-08	8.593035191681954767e-04
1.946198487999999998e+04	4.822729627921731787e-08	8.944137314211179435e-04
1.945214884000000166e+04	5.594203044642921304e-08	9.307940224794096972e-04
1.944232305999999880e+04	6.483761903495458370e-08	9.684833444968747292e-04
1.943250750999999946e+04	7.508626715147683812e-08	1.007521693107032426e-03
1.942270218999999997e+04	8.688393764436763106e-08	1.047949889843456141e-03
1.941290707000000111e+04	1.004535050488661630e-07	1.089809833496655118e-03
1.940312213999999949e+04	1.160481641947504180e-07	1.133144310051523293e-03
1.939334737999999925e+04	1.339553481317905734e-07	1.177997129503460328e-03
1.938358279000000039e+04	1.545010147767259165e-07	1.224413000893445191e-03
1.937382833000000028e+04	1.780546235214634172e-07	1.272437827753056163e-03
1.936408399999999892e+04	2.050343862564097164e-07	1.322118339455615474e-03
1.935434977000000072e+04	2.359134771464368156e-07	1.373502443263727342e-03
1.934462565000000177e+04	2.712265651559925598e-07	1.426638873784297559e-03
1.933491159999999945e+04	3.115776160096350751e-07	1.481577683642691483e-03
1.932520761000000130e+04	3.576479747433716117e-07	1.538369826358867770e-03
1.931551367000000027e+04	4.102057299044882875e-07	1.597067321994954329e-03
1.930582977000000028e+04	4.701160119316894559e-07	1.657723266847389723e-03
1.929615587999999843e+04	5.383525669411828734e-07	1.720391974547589263e-03
1.928649198999999862e+04	6.160101773487724618e-07	1.785128734986961892e-03
1.927683809000000110e+04	7.043187809469708885e-07	1.851989942019934346e-03
1.926719414999999935e+04	8.046591969774479652e-07	1.921033247283751143e-03
1.925756017000000065e+04	9.185797795026772112e-07	1.992317216306356900e-03
1.924793612999999823e+04	1.047815828546937620e-06	2.065901688351874394e-03
1.923832200999999986e+04	1.194310299167845856e-06	2.141847647871378182e-03
1.922871779999999853e+04	1.360236626956812863e-06	2.220217148824941110e-03
1.921912349000000177e+04	1.548024145389474499e-06	2.301073393559260102e-03
1.920953904999999941e+04	1.760386386688196345e-06	2.384480915259124586e-03
1.919996446999999898e+04	2.000350899536512172e-06	2.470505246513054771e-03
1.919039975000000049e+04	2.271292838829410244e-06	2.559212990264285881e-03
1.918084485000000132e+04	2.576973276867285609e-06	2.650672294966411290e-03
1.917129977000000144e+04	2.921577281596169922e-06	2.744952116539052869e-03
1.916176449000000139e+04	3.309759812704857586e-06	2.842122781220447585e-03
1.915223900000000140e+04	3.746693007563101783e-06	2.942255699393233823e-03
1.914272327999999834e+04	4.238119741323524719e-06	3.045423571645979044e-03
1.913321731999999975e+04	4.790410256928189558e-06	3.151700179974448873e-03
1.912372109999999884e+04	5.410625954120182373e-06	3.261160605628578464e-03
1.911423460999999952e+04	6.106586562150817041e-06	3.373881005676721695e-03
1.910475782999999865e+04	6.886945820843895387e-06	3.489938843245562073e-03
1.909529074000000037e+04	7.761271817304266372e-06	3.609412776792186341e-03
1.908583334000000104e+04	8.740132640159055212e-06	3.732382394854103207e-03
1.907638560000000143e+04	9.835196508762144909e-06	3.858928854054627985e-03
1.906694752000000153e+04	1.105932874195676448e-05	3.989134095416038868e-03
1.905751907999999821e+04	1.242670899300022010e-05	4.123081500247663400e-03
1.904810024999999951e+04	1.395295196709870475e-05	4.260855778128334360e-03
1.903869104000000152e+04	1.565522958114904571e-05	4.402542219848842864e-03
1.902929142000000138e+04	1.755242493886675559e-05	4.548227861312619490e-03
1.901990137999999934e+04	1.966527447223717360e-05	4.698000594397191976e-03
1.901052089999999953e+04	2.201653736973075519e-05	4.851949613320162384e-03
1.900114996999999858e+04	2.463116736741604698e-05	5.010165086791327181e-03
1.899178858000000037e+04	2.753650408855693276e-05	5.172738300688264727e-03
1.898243671000000177e+04	3.076248011111140451e-05	5.339761828193025604e-03
1.897309433999999965e+04	3.434183718217834701e-05	5.511329357238967282e-03
1.896376147000000128e+04	3.831035156613913349e-05	5.687535296045573979e-03
1.895443807000000015e+04	4.270710487888961995e-05	5.868475691064560344e-03
1.894512413000000015e+04	4.757473200527388929e-05	6.054247281970863773e-03
1.893581965000000127e+04	5.295970849158541249e-05	6.244947640654560476e-03
1.892652459000000090e+04	5.891268641639833836e-05	6.440676193530938017e-03
1.891723895999999877e+04	6.548876657765834608e-05	6.641532345941322801e-03
1.890796272999999928e+04	7.274790176044779394e-05	6.847617345720880162e-03
1.889869589999999880e+04	8.075521772929544425e-05	7.059032764050554402e-03
1.888943844000000172e+04	8.958145277938141997e-05	7.275881809219435920e-03
1.888019034000000102e+04	9.930333311557083418e-05	7.498268180334046948e-03
1.887095159000000058e+04	1.100040289234314930e-04	7.726296483528712414e-03
1.886172218000000066e+04	1.217736215805824976e-04	7.960072208741248573e-03
1.885250207999999839e+04	1.347096272769250376e-04	8.199702231972395838e-03
1.884329130000000077e+04	1.489174367495730417e-04	8.445293237764979130e-03
1.883408980000000156e+04	1.645109969593663618e-04	8.696954049737167305e-03
1.882489758000000074e+04	1.816132572044299115e-04	8.954793220900010911e-03
1.881571462999999858e+04	2.003568543888071846e-04	9.218920321603129783e-03
1.880654091999999946e+04	2.208847884096815019e-04	9.489446244119603344e-03
1.879737644999999975e+04	2.433509918035371450e-04	9.766481716795413423e-03
1.878822120999999970e+04	2.679211181961733469e-04	1.005013841591781421e-02
1.877907517000000007e+04	2.947733267438642428e-04	1.034052929206336936e-02
1.876993832000000111e+04	3.240989533670528234e-04	1.063776729842385270e-02
1.876081065999999919e+04	3.561033330645412540e-04	1.094196561622726681e-02
1.875169215999999869e+04	3.910067905446165345e-04	1.125323896029999972e-02
1.874258281999999963e+04	4.290453133733156013e-04	1.157170154317285239e-02
1.873348260999999911e+04	4.704717030764063142e-04	1.189746908698551854e-02
1.872439153000000078e+04	5.155562803394062249e-04	1.223065668759295253e-02
1.871530956000000151e+04	5.645880958993654709e-04	1.257138054460216550e-02
1.870623669000000154e+04	6.178758199886782380e-04	1.291975684295258719e-02
1.869717291000000114e+04	6.757488489688250315e-04	1.327590206517707122e-02
1.868811819000000105e+04	7.385585480159418152e-04	1.363993376218073858e-02
1.867907253000000128e+04	8.066790532329854357e-04	1.401196852320396938e-02
1.867003591999999844e+04	8.805086880359372587e-04	1.439212349399014365e-02
1.866100833000000057e+04	9.604712854645086530e-04	1.478051681306225343e-02
1.865198976000000039e+04	1.047016996113176758e-03	1.517726543896248496e-02
1.864298020000000179e+04	1.140623868834024805e-03	1.558248677613976313e-02
1.863397961999999825e+04	1.241799295156523165e-03	1.599629914041034509e-02
1.862498802000000069e+04	1.351080787636117515e-03	1.641881943689512888e-02
1.861600537999999869e+04	1.469037863304854547e-03	1.685016538447898712e-02
1.860703168999999980e+04	1.596273065223667879e-03	1.729045408087585833e-02
1.859806694000000061e+04	1.733423451770203056e-03	1.773980240563698477e-02
