Wavenumber	Major Gaussian	Minor Gaussian
1.999839949999999953e+04	2.318865718043158845e-11	1.747695744315069387e-04
1.998799624000000040e+04	2.780170556224708524e-11	1.830423049140909517e-04
1.997760411999999997e+04	3.330323019766655032e-11	1.916703178301604779e-04
1.996722313999999824e+04	3.985853318331359411e-11	2.006671050571476550e-04
1.995685327999999936e+04	4.766256388575034402e-11	2.100466097045830191e-04
1.994649451000000045e+04	5.694502607524135570e-11	2.198232310543943530e-04
1.993614682000000175e+04	6.797629964052783410e-11	2.300118074876757277e-04
1.992581019999999990e+04	8.107437113147775462e-11	2.406276444612556406e-04
1.991548461999999927e+04	9.661291063833173991e-11	2.516865475265254635e-04
1.990517007000000012e+04	1.150305679596426923e-10	2.632047926572237220e-04
1.989486652999999933e+04	1.368418589021689965e-10	2.751991688307379698e-04
1.988457398000000103e+04	1.626497307997633891e-10	2.876869796909265788e-04
1.987429239999999845e+04	1.931601310606349882e-10	3.006860553987589181e-04
1.986402178999999887e+04	2.291987905005500789e-10	3.142147377247282540e-04
1.985376210999999967e+04	2.717309170034924415e-10	3.282919705776882928e-04
1.984351335000000108e+04	3.218834777629634682e-10	3.429372213342862124e-04
1.983327549999999974e+04	3.809712527775755245e-10	3.581705301285621366e-04
1.982304853000000003e+04	4.505269243930984596e-10	3.740125536918843439e-04
1.981283242999999857e+04	5.323353478897681765e-10	3.904845183321878506e-04
1.980262718999999925e+04	6.284733327286702644e-10	4.076082603648923568e-04
1.979243277999999918e+04	7.413555142582945340e-10	4.254062742341728856e-04
1.978224918999999863e+04	8.737864124289819254e-10	4.439016581659908011e-04
1.977207640000000174e+04	1.029020899774629169e-09	4.631181777049622294e-04
1.976191439000000173e+04	1.210833117906862770e-09	4.830802622488935432e-04
1.975176314999999886e+04	1.423595296549728828e-09	5.038129972785287134e-04
1.974162266000000091e+04	1.672368557681106564e-09	5.253421766571636552e-04
1.973149290000000110e+04	1.963006209967926174e-09	5.476942972741846976e-04
1.972137385999999969e+04	2.302271550236408043e-09	5.708965488887718810e-04
1.971126551000000109e+04	2.697973694345349783e-09	5.949768956829768873e-04
1.970116785000000164e+04	3.159119508155418909e-09	6.199639725442141749e-04
1.969108084999999846e+04	3.696091136714626702e-09	6.458872412612308737e-04
1.968100449999999910e+04	4.320843248052305582e-09	6.727768822971929175e-04
1.967093878000000041e+04	5.047131177022199019e-09	7.006638827665603950e-04
1.966088366999999926e+04	5.890768135755663799e-09	7.295800254803043536e-04
1.965083915999999954e+04	6.869916614639750548e-09	7.595578718596617289e-04
1.964080523000000176e+04	8.005421649974270504e-09	7.906308326095779198e-04
1.963078186999999889e+04	9.321184531054506368e-09	8.228331210663601984e-04
1.962076904999999897e+04	1.084459200687318050e-08	8.561998621422212000e-04
1.961076675999999861e+04	1.260699211976426391e-08	8.907669768925723444e-04
1.960077497999999832e+04	1.464424188973128358e-08	9.265712925216655843e-04
1.959079371000000174e+04	1.699731487148774212e-08	9.636504482295828221e-04
1.958082290999999896e+04	1.971300719182317229e-08	1.002043129569862422e-03
1.957086258000000089e+04	2.284469874228895898e-08	1.041788783908980569e-03
1.956091269000000102e+04	2.645324990613469960e-08	1.082927899323328936e-03
1.955097323999999935e+04	3.060797049211895801e-08	1.125501777422315648e-03
1.954104420000000027e+04	3.538775218636541923e-08	1.169552793843844744e-03
1.953112556000000041e+04	4.088229604645410929e-08	1.215124199954486280e-03
1.952121730000000025e+04	4.719352459274759432e-08	1.262260264204418400e-03
1.951131941000000006e+04	5.443713872446713817e-08	1.311006191954300739e-03
1.950143187000000034e+04	6.274438672901426499e-08	1.361408232261028918e-03
1.949155466000000160e+04	7.226402473023034519e-08	1.413513644360637686e-03
1.948168777000000046e+04	8.316450233482169229e-08	1.467370653576912602e-03
1.947183118000000104e+04	9.563643560768466350e-08	1.523028567827098114e-03
1.946198487999999998e+04	1.098953226254325010e-07	1.580537679084964174e-03
1.945214884000000166e+04	1.261846392356131219e-07	1.639949448234074127e-03
1.944232305999999880e+04	1.447791620002580614e-07	1.701316218256537652e-03
1.943250750999999946e+04	1.659888529766676712e-07	1.764691586728022593e-03
1.942270218999999997e+04	1.901629530977354741e-07	1.830130040460639521e-03
1.941290707000000111e+04	2.176947880344856925e-07	1.897687352373412248e-03
1.940312213999999949e+04	2.490268419976304581e-07	1.967420262215426562e-03
1.939334737999999925e+04	2.846565894691466386e-07	2.039386686671114304e-03
1.938358279000000039e+04	3.251427626132536261e-07	2.113645507699460965e-03
1.937382833000000028e+04	3.711126540939889842e-07	2.190257034321731362e-03
1.936408399999999892e+04	4.232695924691463569e-07	2.269282401709336438e-03
1.935434977000000072e+04	4.824018889806821448e-07	2.350784122157091160e-03
1.934462565000000177e+04	5.493919652479212025e-07	2.434825517084169590e-03
1.933491159999999945e+04	6.252274282233444117e-07	2.521471483626081846e-03
1.932520761000000130e+04	7.110121420406855865e-07	2.610787822668863417e-03
1.931551367000000027e+04	8.079791440147243754e-07	2.702841490968874594e-03
1.930582977000000028e+04	9.175046649821514127e-07	2.797700605568825740e-03
1.929615587999999843e+04	1.041123810182351633e-06	2.895434652883092323e-03
1.928649198999999862e+04	1.180547042128593296e-06	2.996114100855924983e-03
1.927683809000000110e+04	1.337678936885848817e-06	3.099810588791414214e-03
1.926719414999999935e+04	1.514638926790989473e-06	3.206597154475109186e-03
1.925756017000000065e+04	1.713782739903660879e-06	3.316547691019440438e-03
1.924793612999999823e+04	1.937727668715310945e-06	3.429737493712842287e-03
1.923832200999999986e+04	2.189378958018088243e-06	3.546243049837166650e-03
1.922871779999999853e+04	2.471958652572061219e-06	3.666141912761605379e-03
1.921912349000000177e+04	2.789037579289185040e-06	3.789512813653450260e-03
1.920953904999999941e+04	3.144570788667207694e-06	3.916435928874507054e-03
1.919996446999999898e+04	3.542934018823058042e-06	4.046992364315903090e-03
1.919039975000000049e+04	3.988964848000216645e-06	4.181264256285146391e-03
1.918084485000000132e+04	4.488009838981071212e-06	4.319335480264917780e-03
1.917129977000000144e+04	5.045969375231159555e-06	4.461290524278746852e-03
1.916176449000000139e+04	5.669353233458388352e-06	4.607215331092054389e-03
1.915223900000000140e+04	6.365336126702586549e-06	4.757196857261103244e-03
1.914272327999999834e+04	7.141820949171354379e-06	4.911323373545617606e-03
1.913321731999999975e+04	8.007504337309924219e-06	5.069684143353438144e-03
1.912372109999999884e+04	8.971950803005924335e-06	5.232369739507357863e-03
1.911423460999999952e+04	1.004566922079573913e-05	5.399471702866556061e-03
1.910475782999999865e+04	1.124019941394711906e-05	5.571082876219950533e-03
1.909529074000000037e+04	1.256820252741121561e-05	5.747297230893289900e-03
1.908583334000000104e+04	1.404355604661754431e-05	5.928209469004081487e-03
1.907638560000000143e+04	1.568146693424277767e-05	6.113915955631062278e-03
1.906694752000000153e+04	1.749857592670620162e-05	6.304513558525561175e-03
1.905751907999999821e+04	1.951308792513473724e-05	6.500100604658352009e-03
1.904810024999999951e+04	2.174490276336158389e-05	6.700776705452940289e-03
1.903869104000000152e+04	2.421574348114780275e-05	6.906641663122893224e-03
1.902929142000000138e+04	2.694932594138591713e-05	7.117797159508249850e-03
