peakcenter	17269.041071847205-20°C	17254.243167289234-30°C	17248.118550349533-40°C	17233.344376234996-50°C	17222.547452456358-60°C	17199.639830854983-70°C
1.853556275000000096e+04	2.418120610497406786e-02	2.373261306029635434e-02	2.356066135697267375e-02	2.317419879915258440e-02	2.291638511174469775e-02	2.243083575852350756e-02
1.852666901000000144e+04	2.495122285399257664e-02	2.447303552600639184e-02	2.428970771643322937e-02	2.387769461471882237e-02	2.360282795690139129e-02	2.308519114972113623e-02
1.851778408000000127e+04	2.574877198744722137e-02	2.523919604174039780e-02	2.504379500800838973e-02	2.460465165255055695e-02	2.431166566216973884e-02	2.375990717412241118e-02
1.850890796000000046e+04	2.657502457329326273e-02	2.603217706497438361e-02	2.582397058457005026e-02	2.535603624960816246e-02	2.504380865640180864e-02	2.445578465714767780e-02
1.850004061999999976e+04	2.743120359187494958e-02	2.685311014221230738e-02	2.663132971727315279e-02	2.613285984270782500e-02	2.580021042704988554e-02	2.517366324398213548e-02
1.849118206999999893e+04	2.831857856674835708e-02	2.770317084917160375e-02	2.746701065075871084e-02	2.693617427266614683e-02	2.658186298234016878e-02	2.591441713770680638e-02
1.848233227999999872e+04	2.923847448658424900e-02	2.858358744673820950e-02	2.833220315259128708e-02	2.776708008431085992e-02	2.738980497597994640e-02	2.667896287096325342e-02
1.847349123999999938e+04	3.019226712219486020e-02	2.949563650280946636e-02	2.922814424842010844e-02	2.862672250673382532e-02	2.822511784279727737e-02	2.746825571212778080e-02
1.846465894000000117e+04	3.118138600530269422e-02	3.044064587069480673e-02	3.015612119620045620e-02	2.951629440829645415e-02	2.908892873235206789e-02	2.828329253580785796e-02
1.845583536000000095e+04	3.220731663095222769e-02	3.141999692709646769e-02	3.111747373380034307e-02	3.043703855594950478e-02	2.998241276741294911e-02	2.912511405651885960e-02
1.844702049999999872e+04	3.327159793931654119e-02	3.243512231396888934e-02	3.211359191727966578e-02	3.139024566110100445e-02	3.090679122048873087e-02	2.999480322954216002e-02
