Wavenumber	20°C	30°C	40°C	50°C	60°C	70°C
1.885250207999999839e+04	8.334411859249319168e-03	9.061566086929803698e-03	1.104121977431560438e-02	1.245815456291589178e-02	1.825618675132850352e-02	3.001945651128420933e-02
1.884329130000000077e+04	8.594210674514551548e-03	9.339497450569113693e-03	1.136653459725635480e-02	1.281569487312835681e-02	1.872467776098698036e-02	3.066753624073805320e-02
1.883408980000000156e+04	8.861465046696534453e-03	9.625256376135479103e-03	1.170060938906844483e-02	1.318247862957437622e-02	1.920377330672708160e-02	3.132729169035972094e-02
1.882489758000000074e+04	9.136406478104442883e-03	9.919079989342525355e-03	1.204369822565150815e-02	1.355875695953705218e-02	1.969372668738116755e-02	3.199893726212481304e-02
1.881571462999999858e+04	9.419277175991936507e-03	1.022121606368675550e-02	1.239606628034311230e-02	1.394479142584417915e-02	2.019480151382414129e-02	3.268269616073476991e-02
1.880654091999999946e+04	9.710331032529285686e-03	1.053192399903448741e-02	1.275799086355799451e-02	1.434085506105449784e-02	2.070727286162791711e-02	3.337880169655398077e-02
1.879737644999999975e+04	1.000983270859895184e-02	1.085147377158673931e-02	1.312976009355535344e-02	1.474723080559406548e-02	2.123142505901505148e-02	3.408749401628971554e-02
1.878822120999999970e+04	1.031805953411398837e-02	1.118014788699780819e-02	1.351167506185529422e-02	1.516421376912089995e-02	2.176755442522185224e-02	3.480902357438565853e-02
1.877907517000000007e+04	1.063530261880723388e-02	1.151824248282917566e-02	1.390405099347931731e-02	1.559211238018565378e-02	2.231597053548566023e-02	3.554365254420620984e-02
1.876993832000000111e+04	1.096186625179090650e-02	1.186606660204980734e-02	1.430721627720428837e-02	1.603124720852440108e-02	2.287699449434480933e-02	3.629165221488479809e-02
1.876081065999999919e+04	1.129806894929180801e-02	1.222394322002394451e-02	1.472151352903656660e-02	1.648195200636033697e-02	2.345096006474192002e-02	3.705330424757311697e-02
1.875169215999999869e+04	1.164424575084461663e-02	1.259221159265897297e-02	1.514730217166620867e-02	1.694457638861554191e-02	2.403821685482097209e-02	3.782890461519019393e-02
1.874258281999999963e+04	1.200074685654616696e-02	1.297122570409904238e-02	1.558495649057820356e-02	1.741948358806754554e-02	2.463912722396108257e-02	3.861875920189532935e-02
1.873348260999999911e+04	1.236794079006192475e-02	1.336135752429693825e-02	1.603486924577517125e-02	1.790705424544158236e-02	2.525407085023334552e-02	3.942318953445442253e-02
1.872439153000000078e+04	1.274621296793235735e-02	1.376299537531302034e-02	1.649744962326825728e-02	1.840768404931881000e-02	2.588344149358258461e-02	4.024252822383957151e-02
1.871530956000000151e+04	1.313596864050152989e-02	1.417654693830984296e-02	1.697312653442844058e-02	1.892178717269098892e-02	2.652765107709080181e-02	4.107712400633611177e-02
1.870623669000000154e+04	1.353763266294126522e-02	1.460243888581558291e-02	1.746234801307446072e-02	1.944979547501524478e-02	2.718712841287424659e-02	4.192733976336637108e-02
1.869717291000000114e+04	1.395165091414589560e-02	1.504111825840804932e-02	1.796558261488798505e-02	1.999215987001977043e-02	2.786232064901740871e-02	4.279355409355804080e-02
1.868811819000000105e+04	1.437849231019668050e-02	1.549305446257415869e-02	1.848332151471837256e-02	2.054935243574464512e-02	2.855369561287639246e-02	4.367616399448499831e-02
1.867907253000000128e+04	1.481864757643695449e-02	1.595873782947408379e-02	1.901607665308409356e-02	2.112186426730096322e-02	2.926173885731838537e-02	4.457558076768763922e-02
1.867003591999999844e+04	1.527263218202608124e-02	1.643868257726713647e-02	1.956438392370716400e-02	2.171020875808256020e-02	2.998695745178356006e-02	4.549223456508788566e-02
1.866100833000000057e+04	1.574098809852676056e-02	1.693342851655447664e-02	2.012880490033957040e-02	2.231492329287801391e-02	3.072988175763155527e-02	4.642657628966904981e-02
1.865198976000000039e+04	1.622428243507566259e-02	1.744353945082897928e-02	2.070992478527040881e-02	2.293656689196063928e-02	3.149106222565060259e-02	4.737907324344951127e-02
1.864298020000000179e+04	1.672311064497378902e-02	1.796960640299107709e-02	2.130835586067218387e-02	2.357572375600314532e-02	3.227107345469422406e-02	4.835021394329625660e-02
1.863397961999999825e+04	1.723809843556686761e-02	1.851224945954844589e-02	2.192473934074045880e-02	2.423300508062371100e-02	3.307051607711986724e-02	4.934051012812362691e-02
1.862498802000000069e+04	1.776990022453124596e-02	1.907211597067235559e-02	2.255974307704080445e-02	2.490904644934382670e-02	3.389001326451814011e-02	5.035049211294682220e-02
1.861600537999999869e+04	1.831920324778384124e-02	1.964988470207788135e-02	2.321406602012034831e-02	2.560451243525842593e-02	3.473021600805824283e-02	5.138071503877498364e-02
1.860703168999999980e+04	1.888672714609952383e-02	2.024626521628329970e-02	2.388843725132034843e-02	2.632009540939682368e-02	3.559180133964746223e-02	5.243175636750219137e-02
1.859806694000000061e+04	1.947322585740718717e-02	2.086199967805778613e-02	2.458361775943642899e-02	2.705651727546466018e-02	3.647547410576235799e-02	5.350421777867259837e-02
1.858911111000000164e+04	2.007948965017224141e-02	2.149786479947867618e-02	2.530040235999059597e-02	2.781453134792090387e-02	3.738196888855852690e-02	5.459872721221192826e-02
1.858016417999999976e+04	2.070634588827892711e-02	2.215467244752528791e-02	2.603962009448110293e-02	2.859492261811828404e-02	3.831204998257134453e-02	5.571593854588158951e-02
1.857122615999999834e+04	2.135465819248561631e-02	2.283326857353981318e-02	2.680213274431393275e-02	2.939850604376544399e-02	3.926650904113295620e-02	5.685652853290251024e-02
1.856229702000000179e+04	2.202533277742620491e-02	2.353453965235157916e-02	2.758884178053639530e-02	3.022613373536216924e-02	4.024617329835163820e-02	5.802120640395227319e-02
1.855337673999999970e+04	2.271931639015033894e-02	2.425941031768819381e-02	2.840068539751253868e-02	3.107869167529323656e-02	4.125190131087710932e-02	5.921070848099654893e-02
1.854446532999999908e+04	2.343759591616908014e-02	2.500884275627677719e-02	2.923863754475529084e-02	3.195709857729609610e-02	4.228458131313730245e-02	6.042579605348857852e-02
1.853556275000000096e+04	2.418120610497406786e-02	2.578384456969666158e-02	3.010371641806334000e-02	3.286231466157257114e-02	4.334514121956140748e-02	6.166726695056448659e-02
1.852666901000000144e+04	2.495122285399257664e-02	2.658546156425126844e-02	3.099697608927533612e-02	3.379533275353525240e-02	4.443453783443509358e-02	6.293594263751436935e-02
1.851778408000000127e+04	2.574877198744722137e-02	2.741478669988448372e-02	3.191951618784109185e-02	3.475718829754692596e-02	4.555376827080682978e-02	6.423268140484804378e-02
1.850890796000000046e+04	2.657502457329326273e-02	2.827295501146239592e-02	3.287247592558947135e-02	3.574895299757608474e-02	4.670386219861482474e-02	6.555836914567604590e-02
1.850004061999999976e+04	2.743120359187494958e-02	2.916115034329032699e-02	3.385704127478772474e-02	3.677174219403193250e-02	4.788589011576204618e-02	6.691392877482245372e-02
1.849118206999999893e+04	2.831857856674835708e-02	3.008059957933291798e-02	3.487443825426895377e-02	3.782670778408209894e-02	4.910095484608170691e-02	6.830031030514882584e-02
1.848233227999999872e+04	2.923847448658424900e-02	3.103258170566811774e-02	3.592594266410162329e-02	3.891504824472763469e-02	5.035020282599282637e-02	6.971850366442945701e-02
1.847349123999999938e+04	3.019226712219486020e-02	3.201842276364472162e-02	3.701287418255353595e-02	4.003800242127846659e-02	5.163481663978655711e-02	7.116953003185408355e-02
1.846465894000000117e+04	3.118138600530269422e-02	3.303949875567317035e-02	3.813659928062879123e-02	4.119685248499126845e-02	5.295601815996001799e-02	7.265444535480317101e-02
1.845583536000000095e+04	3.220731663095222769e-02	3.409723774120801409e-02	3.929853322640352448e-02	4.239292593884159965e-02	5.431507056257503518e-02	7.417434253752121232e-02
1.844702049999999872e+04	3.327159793931654119e-02	3.519311707129263445e-02	4.050013675221212500e-02	4.362759213889000343e-02	5.571327411966945503e-02	7.573034668781347678e-02
1.843821433999999863e+04	3.437582783524349705e-02	3.632866891755889838e-02	4.174292183926576333e-02	4.490226821272193941e-02	5.715197268237005856e-02	7.732362234310531657e-02
1.842941686000000118e+04	3.552166178462034390e-02	3.750547866605723202e-02	4.302844966206308130e-02	4.621841691046801870e-02	5.863255099236221873e-02	7.895537043233381846e-02
