Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	4.987280725990492707e-11	3.955030318278265184e-04
1.998799624000000040e+04	5.939801708099626751e-11	4.122868189156410714e-04
1.997760411999999997e+04	7.068287933039618607e-11	4.297096270761275303e-04
1.996722313999999824e+04	8.404107253359164645e-11	4.477925795251221433e-04
1.995685327999999936e+04	9.984011339722892749e-11	4.665574052334235710e-04
1.994649451000000045e+04	1.185102179702723917e-10	4.860264374124772494e-04
1.993614682000000175e+04	1.405545015022967697e-10	5.062225685632770452e-04
1.992581019999999990e+04	1.665608503975788336e-10	5.271692955055221454e-04
1.991548461999999927e+04	1.972156724025972579e-10	5.488907731212020521e-04
1.990517007000000012e+04	2.333195960376805338e-10	5.714117443988739982e-04
1.989486652999999933e+04	2.758057668874606248e-10	5.947576127528705903e-04
1.988457398000000103e+04	3.257608141344579883e-10	6.189544333493783102e-04
1.987429239999999845e+04	3.844490093787286672e-10	6.440289243377742305e-04
1.986402178999999887e+04	4.533399028697923728e-10	6.700084265766429728e-04
1.985376210999999967e+04	5.341406273825113309e-10	6.969210656261956441e-04
1.984351335000000108e+04	6.288320898416839310e-10	7.247955881800473938e-04
1.983327549999999974e+04	7.397111271958539917e-10	7.536614448279923455e-04
1.982304853000000003e+04	8.694388996148339038e-10	7.835488604531978558e-04
1.981283242999999857e+04	1.021095564163462643e-09	8.144887325588044550e-04
1.980262718999999925e+04	1.198243451839134611e-09	8.465126955119813435e-04
1.979243277999999918e+04	1.404999501438345131e-09	8.796531974801820438e-04
1.978224918999999863e+04	1.646116797423768225e-09	9.139433858819209951e-04
1.977207640000000174e+04	1.927078910218510752e-09	9.494172130122226954e-04
1.976191439000000173e+04	2.254206655808823720e-09	9.861094161376104689e-04
1.975176314999999886e+04	2.634779442664384593e-09	1.024055490312682660e-03
1.974162266000000091e+04	3.077174398925566200e-09	1.063291771209123318e-03
1.973149290000000110e+04	3.591023556761178458e-09	1.103855411510481013e-03
1.972137385999999969e+04	4.187392021645591720e-09	1.145784349324357803e-03
1.971126551000000109e+04	4.878982560392488379e-09	1.189117442155960668e-03
1.970116785000000164e+04	5.680362364808379998e-09	1.233894266291355639e-03
1.969108084999999846e+04	6.608227651009323420e-09	1.280155384128321434e-03
1.968100449999999910e+04	7.681694716036481901e-09	1.327942136001620263e-03
1.967093878000000041e+04	8.922635691331553726e-09	1.377296783766147111e-03
1.966088366999999926e+04	1.035605438956110411e-08	1.428262476912767545e-03
1.965083915999999954e+04	1.201050959962963153e-08	1.480883208855944370e-03
1.964080523000000176e+04	1.391859717329228958e-08	1.535203927478821350e-03
1.963078186999999889e+04	1.611748661674904513e-08	1.591270439213437419e-03
1.962076904999999897e+04	1.864953546065449646e-08	1.649129584795317903e-03
1.961076675999999861e+04	2.156296426528515483e-08	1.708829024128071103e-03
1.960077497999999832e+04	2.491263182142023692e-08	1.770417413409127718e-03
1.959079371000000174e+04	2.876088779534479879e-08	1.833944229019869370e-03
1.958082290999999896e+04	3.317856317299647242e-08	1.899460155178567429e-03
1.957086258000000089e+04	3.824602414812809432e-08	1.967016582245731046e-03
1.956091269000000102e+04	4.405441690548620014e-08	2.036666068999596312e-03
1.955097323999999935e+04	5.070699600328184644e-08	2.108461942363740703e-03
1.954104420000000027e+04	5.832067930732945742e-08	2.182458724186898784e-03
1.953112556000000041e+04	6.702771407033779251e-08	2.258711781963520463e-03
1.952121730000000025e+04	7.697759211893657313e-08	2.337277552786431664e-03
1.951131941000000006e+04	8.833914427442765093e-08	2.418213395100401401e-03
1.950143187000000034e+04	1.013029137390037740e-07	2.501577752589323380e-03
1.949155466000000160e+04	1.160837681424597065e-07	2.587430083663625879e-03
1.948168777000000046e+04	1.329237955924833774e-07	2.675830775318890388e-03
1.947183118000000104e+04	1.520955719640841587e-07	2.766841321145492062e-03
1.946198487999999998e+04	1.739057203377100102e-07	2.860524145750584918e-03
1.945214884000000166e+04	1.986989637611074860e-07	2.956942892270363228e-03
1.944232305999999880e+04	2.268624257334782181e-07	3.056161942346228774e-03
1.943250750999999946e+04	2.588306759292992313e-07	3.158247006941081701e-03
1.942270218999999997e+04	2.950909703956356452e-07	3.263264522169733763e-03
1.941290707000000111e+04	3.361894334084990057e-07	3.371282275071842225e-03
1.940312213999999949e+04	3.827374942954986800e-07	3.482368876926626375e-03
1.939334737999999925e+04	4.354192975671398648e-07	3.596594086909628198e-03
1.938358279000000039e+04	4.949995854855539100e-07	3.714028462982254392e-03
1.937382833000000028e+04	5.623329187923896646e-07	3.834744079679357470e-03
1.936408399999999892e+04	6.383729421941423830e-07	3.958813565009036348e-03
1.935434977000000072e+04	7.241835794067133810e-07	4.086310956918348496e-03
1.934462565000000177e+04	8.209502420200525325e-07	4.217310800364320114e-03
1.933491159999999945e+04	9.299935927202195535e-07	4.351889332960020944e-03
1.932520761000000130e+04	1.052783003686226041e-06	4.490123422974616647e-03
1.931551367000000027e+04	1.190952354271423949e-06	4.632090952543111394e-03
1.930582977000000028e+04	1.346317056234976431e-06	4.777870812859450790e-03
1.929615587999999843e+04	1.520893061638478661e-06	4.927543212435079450e-03
1.928649198999999862e+04	1.716916597991629718e-06	5.081189069612252439e-03
1.927683809000000110e+04	1.936866674798974055e-06	5.238890294787606171e-03
1.926719414999999935e+04	2.183489889944201173e-06	5.400730123276447497e-03
1.925756017000000065e+04	2.459825693605185630e-06	5.566792280006488576e-03
1.924793612999999823e+04	2.769236429137746195e-06	5.737161799258760041e-03
1.923832200999999986e+04	3.115438302758410098e-06	5.911924694073022839e-03
1.922871779999999853e+04	3.502535103978836666e-06	6.091167758225051951e-03
1.921912349000000177e+04	3.935055531980857768e-06	6.274978725702343337e-03
1.920953904999999941e+04	4.417994481748969064e-06	6.463446657813135855e-03
1.919996446999999898e+04	4.956854906339560720e-06	6.656661165649896059e-03
1.919039975000000049e+04	5.557695189554727358e-06	6.854712556046168095e-03
1.918084485000000132e+04	6.227183639669203368e-06	7.057692866837706608e-03
1.917129977000000144e+04	6.972648859817441270e-06	7.265694196788454080e-03
1.916176449000000139e+04	7.802143463709722155e-06	7.478809939152059397e-03
1.915223900000000140e+04	8.724506550529322226e-06	7.697134126266747499e-03
1.914272327999999834e+04	9.749435191614644013e-06	7.920761860925983402e-03
1.913321731999999975e+04	1.088755764618030668e-05	8.149788841348183654e-03
1.912372109999999884e+04	1.215051647208203811e-05	8.384311814086727044e-03
1.911423460999999952e+04	1.355105320454157658e-05	8.624428074050659657e-03
1.910475782999999865e+04	1.510310464659875191e-05	8.870235939833864131e-03
1.909529074000000037e+04	1.682190234830438413e-05	9.121834496854568444e-03
1.908583334000000104e+04	1.872407634324670540e-05	9.379323026597555929e-03
1.907638560000000143e+04	2.082778035102488950e-05	9.642802330573001929e-03
1.906694752000000153e+04	2.315280350226490432e-05	9.912373074561470210e-03
1.905751907999999821e+04	2.572071344966029950e-05	1.018813714384025036e-02
1.904810024999999951e+04	2.855499750579488445e-05	1.047019738550225912e-02
1.903869104000000152e+04	3.168119830001316648e-05	1.075865607002040973e-02
1.902929142000000138e+04	3.512709932688133250e-05	1.105361726209714776e-02
1.901990137999999934e+04	3.892287869808931124e-05	1.135518499105021319e-02
1.901052089999999953e+04	4.310130272756310284e-05	1.166346414815533535e-02
1.900114996999999858e+04	4.769791290115094848e-05	1.197855981705941639e-02
1.899178858000000037e+04	5.275123656458093665e-05	1.230057755542254133e-02
1.898243671000000177e+04	5.830301317057390542e-05	1.262962372145283452e-02
1.897309433999999965e+04	6.439842393059795795e-05	1.296580512026051894e-02
1.896376147000000128e+04	7.108632474295118841e-05	1.330922823018480979e-02
1.895443807000000015e+04	7.841954264317926100e-05	1.366000099131647015e-02
