Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	4.654332536222796249e-12	1.167584921133242755e-03
1.998799624000000040e+04	5.655812024385246344e-12	1.211791970106279419e-03
1.997760411999999997e+04	6.866255624213489134e-12	1.257473112943615235e-03
1.996722313999999824e+04	8.327860587683084751e-12	1.304669639451195608e-03
1.995685327999999936e+04	1.009105554189585413e-11	1.353423808350342258e-03
1.994649451000000045e+04	1.221604683851747297e-11	1.403778823147282815e-03
1.993614682000000175e+04	1.477463738081837251e-11	1.455778697017268359e-03
1.992581019999999990e+04	1.785238009978567537e-11	1.509468351404988362e-03
1.991548461999999927e+04	2.155111934790356323e-11	1.564893734130500891e-03
1.990517007000000012e+04	2.599196116061147852e-11	1.622101620760174742e-03
1.989486652999999933e+04	3.131878827364401903e-11	1.681139780233769851e-03
1.988457398000000103e+04	3.770237480540619780e-11	1.742056932580283253e-03
1.987429239999999845e+04	4.534521684311036130e-11	1.804902757487121794e-03
1.986402178999999887e+04	5.448717462199821063e-11	1.869727774358767710e-03
1.985376210999999967e+04	6.541215224866743486e-11	1.936583726870507111e-03
1.984351335000000108e+04	7.845579241841413322e-11	2.005523153893773534e-03
1.983327549999999974e+04	9.401455362873090240e-11	2.076599576883920561e-03
1.982304853000000003e+04	1.125563215879220447e-10	2.149867652051579581e-03
1.981283242999999857e+04	1.346326807686333381e-10	2.225382899418070545e-03
1.980262718999999925e+04	1.608933009754757351e-10	2.303201841210072032e-03
1.979243277999999918e+04	1.921027199689317755e-10	2.383382167231041376e-03
1.978224918999999863e+04	2.291596822815986186e-10	2.465982435590064695e-03
1.977207640000000174e+04	2.731198017779646756e-10	2.551062308069175846e-03
1.976191439000000173e+04	3.252217454504468458e-10	2.638682480208466141e-03
1.975176314999999886e+04	3.869175489909652688e-10	2.728904595860039139e-03
1.974162266000000091e+04	4.599078987028355979e-10	2.821791423766043232e-03
1.973149290000000110e+04	5.461827995244935014e-10	2.917406779171475596e-03
