peakcenter	17289.8119463758-20°C	17277.150453038626-40°C	17271.260566842393-45°C	17262.46575968384-50°C
1.824665406000000075e+04	9.801767142755980766e-02	1.038013055559772468e-01	1.028116506099020083e-01	1.031530397347998618e-01
1.823804449999999997e+04	1.008596115577221203e-01	1.065916777419145117e-01	1.055487897559634625e-01	1.058282939363155012e-01
1.822944332999999824e+04	1.037956689372027119e-01	1.094702856494488286e-01	1.083720731561176182e-01	1.085863802758561675e-01
1.822085054999999920e+04	1.068287072092538731e-01	1.124398582398841162e-01	1.112841946376185859e-01	1.114299251404390345e-01
1.821226613999999972e+04	1.099616227657372186e-01	1.155031622192886492e-01	1.142878880654670665e-01	1.143615979975273755e-01
1.820369009000000005e+04	1.131973298936050504e-01	1.186629879292831202e-01	1.173859136433552247e-01	1.173840982516219239e-01
1.819512240000000020e+04	1.165387553053502112e-01	1.219221444637834662e-01	1.205810532624730091e-01	1.205001509460981585e-01
1.818656304000000091e+04	1.199888487047094249e-01	1.252834704003825961e-01	1.238761211528400380e-01	1.237125173785634386e-01
1.817801199999999881e+04	1.235505581664490538e-01	1.287498102037884784e-01	1.272739408767158131e-01	1.270239728864311912e-01
1.816946928000000116e+04	1.272268274289475865e-01	1.323240120399049591e-01	1.307773433096946214e-01	1.304373051085319646e-01
1.816093485000000146e+04	1.310206071979024278e-01	1.360089391636492839e-01	1.343891779187507407e-01	1.339553251837944936e-01
1.815240871999999945e+04	1.349348183314277583e-01	1.398074345311086097e-01	1.381122781853696690e-01	1.375808342713419063e-01
1.814389085999999952e+04	1.389723808027811813e-01	1.437223493105003747e-01	1.419494896537934758e-01	1.413166510664843611e-01
1.813538127000000168e+04	1.431361750360097829e-01	1.477565057131114967e-01	1.459036335942627549e-01	1.451655765996703873e-01
1.812687992999999915e+04	1.474290580919504767e-01	1.519127130397539827e-01	1.499775228174112518e-01	1.491304098099265341e-01
1.811838682999999946e+04	1.518538419661373540e-01	1.561937469670259260e-01	1.541739414486272275e-01	1.532139280173214768e-01
1.810990194999999949e+04	1.564132960534448114e-01	1.606023522324125929e-01	1.584956476275322379e-01	1.574188896989114073e-01
1.810142529999999897e+04	1.611101176017938896e-01	1.651412143377023467e-01	1.629453458258571519e-01	1.617480076877312323e-01
1.809295684999999867e+04	1.659469616408241477e-01	1.698129887271203342e-01	1.675257154967580153e-01	1.662039771649078956e-01
1.808449658999999883e+04	1.709264002782910352e-01	1.746202616572900546e-01	1.722393727491827176e-01	1.707894384718774972e-01
1.807604450999999972e+04	1.760509247884942119e-01	1.795655524175985840e-01	1.770888725442696099e-01	1.755069793324047500e-01
1.806760060000000158e+04	1.813229369513355838e-01	1.846513051263263538e-01	1.820767006595503390e-01	1.803591270998907981e-01
1.805916485000000102e+04	1.867447402438726645e-01	1.898798803549456016e-01	1.872052654702987262e-01	1.853483408072515992e-01
1.805073723999999856e+04	1.923185376131734403e-01	1.952535530653267404e-01	1.924768959094367016e-01	1.904770092074074272e-01
1.804231777000000147e+04	1.980464026941638200e-01	2.007744849127957587e-01	1.978938142647059528e-01	1.957474243120687629e-01
1.803390641999999934e+04	2.039302971495370320e-01	2.064447409817682932e-01	2.034581525481545528e-01	2.011617972985162706e-01
1.802550316999999995e+04	2.099720488481733871e-01	2.122662687263998649e-01	2.091719317751274121e-01	2.067222383103448358e-01
1.801710802999999942e+04	2.161733202210064653e-01	2.182408674249875224e-01	2.150370319012174791e-01	2.124307271340158398e-01
1.800872096999999849e+04	2.225356498670229277e-01	2.243702281687351419e-01	2.210552309783397062e-01	2.182891512168126102e-01
1.800034199000000081e+04	2.290603921447550984e-01	2.306558755198807875e-01	2.272281477729753141e-01	2.242992497050849410e-01
1.799197106999999960e+04	2.357487454705765595e-01	2.370991945952175828e-01	2.335572682268365896e-01	2.304626390609064435e-01
1.798360820999999851e+04	2.426017121048396064e-01	2.437013921024903385e-01	2.400439070459550739e-01	2.367807754985492008e-01
1.797525337999999829e+04	2.496201296686541837e-01	2.504635264396207206e-01	2.466892371086674418e-01	2.432549834361012464e-01
1.796690657999999894e+04	2.568046131681385735e-01	2.573864515333348368e-01	2.534942341075414607e-01	2.498864013582674792e-01
1.795856780000000072e+04	2.641555789282283295e-01	2.644708395454496985e-01	2.604596986571670048e-01	2.566760031021156907e-01
1.795023702000000048e+04	2.716732371950766889e-01	2.717171733568667924e-01	2.675862487018293434e-01	2.636245901981458806e-01
1.794191423999999824e+04	2.793575569709356166e-01	2.791257122385388811e-01	2.748742855258130557e-01	2.707327584361547412e-01
1.793359944000000178e+04	2.872082941796442745e-01	2.866965185227754453e-01	2.823240197353606429e-01	2.780009228751557648e-01
1.792529261000000042e+04	2.952249568588174999e-01	2.944294235292875817e-01	2.899354374791297539e-01	2.854292845539480039e-01
1.791699374000000171e+04	3.034068067792149437e-01	3.023240285597497135e-01	2.977083011382852251e-01	2.930178307814803595e-01
1.790870281999999861e+04	3.117528525087054914e-01	3.103796976037637156e-01	3.056421418475666618e-01	3.007663274350492744e-01
1.790041982999999891e+04	3.202618532475091095e-01	3.185955604042058353e-01	3.137362622050750560e-01	3.086743211862745806e-01
1.789214476999999897e+04	3.289322819960927013e-01	3.269704762151591226e-01	3.219897002391859386e-01	3.167411038476128371e-01
