Wavenumber	874.3768121211048-40C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-20C	874.3768121211048-50C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-45C
1.960077497999999832e+04	7.796108930072549736e-04	1.095837907981811812e-03	3.162270149745568387e-04	1.473880097824407757e-03	6.942692048171527838e-04	3.780421898425959451e-04
1.959079371000000174e+04	8.020705087769513381e-04	1.126843590830422549e-03	3.247730820534712112e-04	1.514757304593607537e-03	7.126867958166561989e-04	3.879137137631849877e-04
1.958082290999999896e+04	8.250349432278314410e-04	1.158529947532032593e-03	3.334950043042011515e-04	1.556508727407733290e-03	7.314737841799018488e-04	3.979787798757006972e-04
1.957086258000000089e+04	8.485108710990939187e-04	1.190905551345201397e-03	3.423946802461074780e-04	1.599144776619187405e-03	7.506339055200934862e-04	4.082392252739860082e-04
1.956091269000000102e+04	8.725049840617362523e-04	1.223978989330183013e-03	3.514740052684467604e-04	1.642675867452892628e-03	7.701708833911563752e-04	4.186968781227096148e-04
1.955097323999999935e+04	8.970238442288058344e-04	1.257758660539805241e-03	3.607348163109994066e-04	1.687112154413737816e-03	7.900883101849319815e-04	4.293534938739325749e-04
1.954104420000000027e+04	9.220740237796478962e-04	1.292252968694124508e-03	3.701789449144766118e-04	1.732463785042742893e-03	8.103897612630949973e-04	4.402108163486183855e-04
1.953112556000000041e+04	9.476619778752679892e-04	1.327470147279097203e-03	3.798081694038292142e-04	1.778740669929457403e-03	8.310786920541894142e-04	4.512705226503602000e-04
1.952121730000000025e+04	9.737941138015780186e-04	1.363418355029964116e-03	3.896242412283860979e-04	1.825952608445165389e-03	8.521584946435873699e-04	4.625342534152012720e-04
1.951131941000000006e+04	1.000476734176089857e-03	1.400105598003827459e-03	3.996288638277376015e-04	1.874109186465175870e-03	8.736324522890860124e-04	4.740035884613484109e-04
1.950143187000000034e+04	1.027716084502070405e-03	1.437539795238067502e-03	4.098237107359970974e-04	1.923219862700279153e-03	8.955037781982087483e-04	4.856800674622116509e-04
1.949155466000000160e+04	1.055518322486409619e-03	1.475728736762990396e-03	4.202104142765807765e-04	1.973293913593558106e-03	9.177755911071484862e-04	4.975651768305677097e-04
1.948168777000000046e+04	1.083889483816251158e-03	1.514680036864538785e-03	4.307905530482876270e-04	2.024340372119801893e-03	9.404508883035507354e-04	5.096603352552631083e-04
1.947183118000000104e+04	1.112835533280314825e-03	1.554401204555235991e-03	4.415656712749211656e-04	2.076368120205810894e-03	9.635325869254960686e-04	5.219669156505749030e-04
1.946198487999999998e+04	1.142362302100207328e-03	1.594899557789186250e-03	4.525372556889789219e-04	2.129385776291008604e-03	9.870234741908012754e-04	5.344862185018223535e-04
1.945214884000000166e+04	1.172475572496261848e-03	1.636182339708700320e-03	4.637067672124384719e-04	2.183401847456699178e-03	1.010926274960437330e-03	5.472195077479988581e-04
1.944232305999999880e+04	1.203180921135894865e-03	1.678256504223710026e-03	4.750755830878151606e-04	2.238424448687129260e-03	1.035243527551234395e-03	5.601679444634192345e-04
1.943250750999999946e+04	1.234483897873314088e-03	1.721128961296693443e-03	4.866450634233793551e-04	2.294461623647978555e-03	1.059977725774664467e-03	5.733326623512851120e-04
1.942270218999999997e+04	1.266389833340848727e-03	1.764806313542810912e-03	4.984164802019621851e-04	2.351521000010463065e-03	1.085131166669614337e-03	5.867146864676521523e-04
1.941290707000000111e+04	1.298904025542885112e-03	1.809295112027002519e-03	5.103910864841174067e-04	2.409610123507872296e-03	1.110706097964987184e-03	6.003150114808697771e-04
1.940312213999999949e+04	1.332031574134545041e-03	1.854601629582591348e-03	5.225700554480463070e-04	2.468736161370056661e-03	1.136704587235511620e-03	6.141345317874653126e-04
1.939334737999999925e+04	1.365777473884767241e-03	1.900731988971998600e-03	5.349545150872313595e-04	2.528906069297366058e-03	1.163128595412598817e-03	6.281740803253674579e-04
1.938358279000000039e+04	1.400146507087443766e-03	1.947692016016876193e-03	5.475455089294324271e-04	2.590126399347080464e-03	1.189979892259636698e-03	6.424343833302042714e-04
1.937382833000000028e+04	1.435143449939414988e-03	1.995487521802394044e-03	5.603440718629790554e-04	2.652403667234325742e-03	1.217260217294910754e-03	6.569161454319316987e-04
1.936408399999999892e+04	1.470772787037919176e-03	2.044123912767716131e-03	5.733511257297969552e-04	2.715743843282729299e-03	1.244971056244810123e-03	6.716199305150131679e-04
1.935434977000000072e+04	1.507038957177740321e-03	2.093606526613029685e-03	5.865675694352893640e-04	2.780152789329002477e-03	1.273113832151262156e-03	6.865462627159727924e-04
1.934462565000000177e+04	1.543946092231353231e-03	2.143940276065025869e-03	5.999941838336726382e-04	2.845635793897827257e-03	1.301689701666474026e-03	7.016955178328013881e-04
1.933491159999999945e+04	1.581498351102242524e-03	2.195130104595295964e-03	6.136317534930534404e-04	2.912198164170531726e-03	1.330699813068289203e-03	7.170680595752357625e-04
1.932520761000000130e+04	1.619699616820440696e-03	2.247180573297888860e-03	6.274809564774481638e-04	2.979844687066528393e-03	1.360145070246087697e-03	7.326641137686395328e-04
1.931551367000000027e+04	1.658553604832548739e-03	2.300096008753306845e-03	6.415424039207581058e-04	3.048579820321543378e-03	1.390026215488994639e-03	7.484838115682365331e-04
1.930582977000000028e+04	1.698063860965506010e-03	2.353880500291899089e-03	6.558166393263930791e-04	3.118407687305927573e-03	1.420343826340421563e-03	7.645271870140284837e-04
1.929615587999999843e+04	1.738233843605259052e-03	2.408538011783247119e-03	6.703041681779880676e-04	3.189332220221504678e-03	1.451098376616245626e-03	7.807942084382575587e-04
1.928649198999999862e+04	1.779066759413599000e-03	2.464072157953562867e-03	6.850053985399638667e-04	3.261356867652558285e-03	1.482290108238959285e-03	7.972847096989954183e-04
1.927683809000000110e+04	1.820565642169926293e-03	2.520486311699450706e-03	6.999206695295244127e-04	3.334484731737526880e-03	1.513919089567600587e-03	8.139984200380761745e-04
1.926719414999999935e+04	1.862733440919442547e-03	2.577783723698726971e-03	7.150502827792844240e-04	3.408718720586636185e-03	1.545985279667193638e-03	8.309349968879092135e-04
1.925756017000000065e+04	1.905572803783507109e-03	2.635967228389168165e-03	7.303944246056610565e-04	3.484061164472283985e-03	1.578488360688776876e-03	8.480939360831158194e-04
1.924793612999999823e+04	1.949086295972203391e-03	2.695039540012744358e-03	7.459532440405409678e-04	3.560514196419785685e-03	1.611427900447582294e-03	8.654746564070413262e-04
1.923832200999999986e+04	1.993276316505499315e-03	2.755003139048653460e-03	7.617268225431541445e-04	3.638079601580765030e-03	1.644803285075265714e-03	8.830764625321115696e-04
1.922871779999999853e+04	2.038145053827552546e-03	2.815860211629741400e-03	7.777151578021888542e-04	3.716758735240381292e-03	1.678613681412828747e-03	9.008985236106398925e-04
1.921912349000000177e+04	2.083694533378946563e-03	2.877612713695048251e-03	7.939181803161016876e-04	3.796552601882527238e-03	1.712858068503580675e-03	9.189398881874789871e-04
1.920953904999999941e+04	2.129926719173444623e-03	2.940262508061160761e-03	8.103357888877161380e-04	3.877462027786737243e-03	1.747535308613292621e-03	9.371995197255764826e-04
1.919996446999999898e+04	2.176843329179419320e-03	3.003811113480742492e-03	8.269677843013231722e-04	3.959487331986309352e-03	1.782644002806890032e-03	9.556762185055668601e-04
1.919039975000000049e+04	2.224445884080688239e-03	3.068259770197301166e-03	8.438138861166129268e-04	4.042628406085462499e-03	1.818182522004774260e-03	9.743686358881613330e-04
1.918084485000000132e+04	2.272735965318697059e-03	3.133609788389501126e-03	8.608738230708040673e-04	4.126885158033372254e-03	1.854149192714675196e-03	9.932753696438711283e-04
1.917129977000000144e+04	2.321714825330617980e-03	3.199862019514846702e-03	8.781471941842287215e-04	4.212256824054250344e-03	1.890541998723632364e-03	1.012394804539403642e-03
1.916176449000000139e+04	2.371383696488683912e-03	3.267017273461620200e-03	8.956335769729362878e-04	4.298742500162763130e-03	1.927358803674079218e-03	1.031725226701142931e-03
1.915223900000000140e+04	2.421743649866810177e-03	3.335076126224183202e-03	9.133324763573730243e-04	4.386340887146974662e-03	1.964597237280164485e-03	1.051264760922791461e-03
1.914272327999999834e+04	2.472795711498321052e-03	3.404039075745909741e-03	9.312433642475886897e-04	4.475050483664466498e-03	2.002254772166145447e-03	1.071011407918556757e-03
1.913321731999999975e+04	2.524540770072500155e-03	3.473906415689614370e-03	9.493656456171142149e-04	4.564869415617134503e-03	2.040328645544634348e-03	1.090962999927520133e-03
1.912372109999999884e+04	2.576979699104526081e-03	3.544678398828203861e-03	9.676986997236777799e-04	4.655795637585098332e-03	2.078815938480572251e-03	1.111117238756894471e-03
1.911423460999999952e+04	2.630113264426619385e-03	3.616355110338141318e-03	9.862418459115219332e-04	4.747826760597817497e-03	2.117713496171198112e-03	1.131471650259676179e-03
1.910475782999999865e+04	2.683942252560474195e-03	3.688936639080465929e-03	1.004994386519991734e-03	4.840960262218257579e-03	2.157018009657783383e-03	1.152023623137791650e-03
1.909529074000000037e+04	2.738467436246356385e-03	3.762423028862999647e-03	1.023955592616643262e-03	4.935193413184643663e-03	2.196725976938287278e-03	1.172770384321644016e-03
1.908583334000000104e+04	2.793689478134474963e-03	3.836814146422503485e-03	1.043124668288028523e-03	5.030523097036570038e-03	2.236833618902095075e-03	1.193708950614066552e-03
1.907638560000000143e+04	2.849609243766260125e-03	3.912110100624173817e-03	1.062500856857913692e-03	5.126946335509309852e-03	2.277337091743049727e-03	1.214836234885136035e-03
1.906694752000000153e+04	2.906227476071540639e-03	3.988310801236440162e-03	1.082083325164899523e-03	5.224459710429120787e-03	2.318232234357580149e-03	1.236148909192680626e-03
1.905751907999999821e+04	2.963545116048640904e-03	4.065416387870843598e-03	1.101871271822202694e-03	5.323059899751580309e-03	2.359514783702939406e-03	1.257643511880736711e-03
1.904810024999999951e+04	3.021563277474591594e-03	4.143427192487697530e-03	1.121863915013105936e-03	5.422743614840500395e-03	2.401180337365908801e-03	1.279316422352802865e-03
1.903869104000000152e+04	3.080282967588570189e-03	4.222343360542661628e-03	1.142060392954091438e-03	5.523507101635814764e-03	2.443224134047244575e-03	1.301163741093153137e-03
1.902929142000000138e+04	3.139705612605446852e-03	4.302165553952784841e-03	1.162459941347337988e-03	5.625347023203521729e-03	2.485641410598074877e-03	1.323181469250736889e-03
1.901990137999999934e+04	3.199832722139773003e-03	4.382894496022251077e-03	1.183061773882478074e-03	5.728259861781496293e-03	2.528427139641723290e-03	1.345365365759245216e-03
1.901052089999999953e+04	3.260666113799071467e-03	4.464531269104057495e-03	1.203865155304986029e-03	5.832242281460486497e-03	2.571576167661415030e-03	1.367711012356429001e-03
1.900114996999999858e+04	3.322207824239675408e-03	4.547077190793856472e-03	1.224869366554181063e-03	5.937290952291441465e-03	2.615083128051766057e-03	1.390213761497584993e-03
1.899178858000000037e+04	3.384460213277354704e-03	4.630533949105414965e-03	1.246073735828060261e-03	6.043402703852694680e-03	2.658942490575339976e-03	1.412868754747279715e-03
1.898243671000000177e+04	3.447426075139261095e-03	4.714903746668313439e-03	1.267477671529052344e-03	6.150574688882755325e-03	2.703148613743494230e-03	1.435670942214441886e-03
1.897309433999999965e+04	3.511108619788089538e-03	4.800189270386780518e-03	1.289080650598690980e-03	6.258804324024766844e-03	2.747695704236677305e-03	1.458615053637986325e-03
1.896376147000000128e+04	3.575511382049647094e-03	4.886393564454286423e-03	1.310882182404639329e-03	6.368089107920299821e-03	2.792577725870652727e-03	1.481695543466013398e-03
1.895443807000000015e+04	3.640638614699150816e-03	4.973520550931861267e-03	1.332881936232710451e-03	6.478427259658369602e-03	2.837788644959218787e-03	1.504906708726508335e-03
1.894512413000000015e+04	3.706494997874267006e-03	5.061574634662210914e-03	1.355079636787943909e-03	6.589817195017021179e-03	2.883322197142754173e-03	1.528242560354810264e-03
1.893581965000000127e+04	3.773085757010468874e-03	5.150560855149652686e-03	1.377475098139183812e-03	6.702257696515627819e-03	2.929171939505158945e-03	1.551696841365975132e-03
1.892652459000000090e+04	3.840417079372300882e-03	5.240485436545211026e-03	1.400068357172910144e-03	6.815748584256124329e-03	2.975331504883823447e-03	1.575263147710913303e-03
1.891723895999999877e+04	3.908495526324403876e-03	5.331354995583239068e-03	1.422859469258835191e-03	6.930289691000143457e-03	3.021794164675739580e-03	1.598934695416904389e-03
1.890796272999999928e+04	3.977328743617699128e-03	5.423177483266769863e-03	1.445848739649070736e-03	7.045882025985517397e-03	3.068553282367818269e-03	1.622704542718747533e-03
1.889869589999999880e+04	4.046925012654653195e-03	5.515961578456829092e-03	1.469036565802175898e-03	7.162526984755052464e-03	3.115601972100399270e-03	1.646565406298223372e-03
1.888943844000000172e+04	4.117293759790896165e-03	5.609717359701440684e-03	1.492423599910544518e-03	7.280227169003191875e-03	3.162933409212295710e-03	1.670509809301751192e-03
1.888019034000000102e+04	4.188445248689741385e-03	5.704455887146631099e-03	1.516010638456889714e-03	7.398985834358641489e-03	3.210540585668900104e-03	1.694529947212010390e-03
1.887095159000000058e+04	4.260390794795180375e-03	5.800189480600508041e-03	1.539798685805327666e-03	7.518807213955716606e-03	3.258416419160536232e-03	1.718617733355208566e-03
1.886172218000000066e+04	4.333142833501859442e-03	5.896931802117269528e-03	1.563788968615410085e-03	7.639696595470202301e-03	3.306553761968342858e-03	1.742764793352932773e-03
1.885250207999999839e+04	4.406715149903157880e-03	5.994698152987906759e-03	1.587983003084748879e-03	7.761660665215785321e-03	3.354945515312627441e-03	1.766962512227878562e-03
1.884329130000000077e+04	4.481122471012941033e-03	6.093504923329332718e-03	1.612382452316391684e-03	7.884706794968700250e-03	3.403584323955759217e-03	1.791201871639367532e-03
1.883408980000000156e+04	4.556381257003565971e-03	6.193370634662923035e-03	1.636989377659357064e-03	8.008844315669873259e-03	3.452463058666307288e-03	1.815473681006950224e-03
1.882489758000000074e+04	4.632509047437831373e-03	6.294315062817960882e-03	1.661806015380129509e-03	8.134083398613069921e-03	3.501574351175238548e-03	1.839768335795109039e-03
1.881571462999999858e+04	4.709524933384969664e-03	6.396359856162367463e-03	1.686834922777397799e-03	8.260435800289855218e-03	3.550910866904885554e-03	1.864075944127487755e-03
1.880654091999999946e+04	4.787449718405823590e-03	6.499528739575106961e-03	1.712079021169283372e-03	8.387915088563093619e-03	3.600465370157270029e-03	1.888386348987986657e-03
1.879737644999999975e+04	4.866305566219922968e-03	6.603847038933689101e-03	1.737541472713766133e-03	8.516536030418176556e-03	3.650230464198253588e-03	1.912688991484487455e-03
1.878822120999999970e+04	4.946116403522039101e-03	6.709342206016932764e-03	1.763225802494893663e-03	8.646315218813066528e-03	3.700198815291027427e-03	1.936973012796133764e-03
1.877907517000000007e+04	5.026908081366347758e-03	6.816044022523275181e-03	1.789135941156927423e-03	8.777271299746865901e-03	3.750363218380518143e-03	1.961227277223590720e-03
1.876993832000000111e+04	5.108708091599949846e-03	6.923984216549858989e-03	1.815276124949909142e-03	8.909424479453791762e-03	3.800716387853841916e-03	1.985440262903932773e-03
1.876081065999999919e+04	5.191545708929344582e-03	7.033196642445484204e-03	1.841650933516139621e-03	9.042796728215653224e-03	3.851251019286308641e-03	2.009600085770169020e-03
1.875169215999999869e+04	5.275452414674620949e-03	7.143717831146100677e-03	1.868265416471479728e-03	9.177412434463773361e-03	3.901960019789152412e-03	2.033694603317672683e-03
1.874258281999999963e+04	5.360461408343331763e-03	7.255586338174475902e-03	1.895124929831144139e-03	9.313297592454819473e-03	3.952836184111487711e-03	2.057711254280343571e-03
1.873348260999999911e+04	5.446608212112031416e-03	7.368843532051843476e-03	1.922235319939812059e-03	9.450480748258150571e-03	4.003872536146119154e-03	2.081637216206307095e-03
1.872439153000000078e+04	5.533930158429064411e-03	7.483532912586677438e-03	1.949602754157613027e-03	9.588992159686223621e-03	4.055062001257159210e-03	2.105459247099546183e-03
1.871530956000000151e+04	5.622466902452334658e-03	7.599700777839179383e-03	1.977233875386844725e-03	9.728864595451348213e-03	4.106397692999013554e-03	2.129163817612168830e-03
1.870623669000000154e+04	5.712260173957942055e-03	7.717395891406374220e-03	2.005135717448432164e-03	9.870132925023415715e-03	4.157872751065473660e-03	2.152737033617041496e-03
1.869717291000000114e+04	5.803353901403216636e-03	7.836669639467028908e-03	2.033315738063812272e-03	1.001283430432324192e-02	4.209480402920025288e-03	2.176164664856213016e-03
1.868811819000000105e+04	5.895794440722239294e-03	7.957576324471096751e-03	2.061781883748857458e-03	1.015700852390884895e-02	4.261214083186609658e-03	2.199432199437752200e-03
1.867907253000000128e+04	5.989630084402584875e-03	8.080172517801284537e-03	2.090542433398699662e-03	1.030269723695668299e-02	4.313067152554098116e-03	2.222524719155398454e-03
1.867003591999999844e+04	6.084911468709656296e-03	8.204517588913582543e-03	2.119606120203926247e-03	1.044994459729611455e-02	4.365033128586458255e-03	2.245427008382532008e-03
1.866100833000000057e+04	6.181691687841925353e-03	8.330673849849389023e-03	2.148982162007463670e-03	1.059879743456430823e-02	4.417105746722382875e-03	2.268123584714919205e-03
1.865198976000000039e+04	6.280025750518222066e-03	8.458705843717582301e-03	2.178680093199360235e-03	1.074930442406739697e-02	4.469278673549174907e-03	2.290598580349814672e-03
1.864298020000000179e+04	6.379970977247240160e-03	8.588680861458322657e-03	2.208709884211082497e-03	1.090151671408739337e-02	4.521545736840153207e-03	2.312835852629070710e-03
1.863397961999999825e+04	6.481587089582643846e-03	8.720669055759043553e-03	2.239081966176399707e-03	1.105548807323216559e-02	4.573900983649521745e-03	2.334819017473122038e-03
1.862498802000000069e+04	6.584935605011610349e-03	8.854742654423944370e-03	2.269807049412334021e-03	1.121127399261610119e-02	4.626338387604490843e-03	2.356531338192156821e-03
1.861600537999999869e+04	6.690080338233941881e-03	8.990976612735818163e-03	2.300896274501876282e-03	1.136893247404471147e-02	4.678852135810769586e-03	2.377955861308893304e-03
1.860703168999999980e+04	6.797086989630898857e-03	9.129448080960222978e-03	2.332361091329324121e-03	1.152852343899224419e-02	4.731436449361345331e-03	2.399075358032021210e-03
1.859806694000000061e+04	6.906023171170581898e-03	9.270236441238095815e-03	2.364213270067513917e-03	1.169010880626213111e-02	4.784085635091549216e-03	2.419872365024035299e-03
1.858911111000000164e+04	7.016958430782808953e-03	9.413423342550013284e-03	2.396464911767204331e-03	1.185375256743662759e-02	4.836794136653818632e-03	2.440329224886614301e-03
1.858016417999999976e+04	7.129964021178762656e-03	9.559092406397920461e-03	2.429128385219157804e-03	1.201952048784438176e-02	4.889556466665619106e-03	2.460428081446461301e-03
1.857122615999999834e+04	7.245112378405207942e-03	9.707328561452788218e-03	2.462216183047580276e-03	1.218747939662039037e-02	4.942367018215182428e-03	2.480150835167602152e-03
1.856229702000000179e+04	7.362477863909998310e-03	9.858219006829746500e-03	2.495741142919748190e-03	1.235769832917787275e-02	4.995220465267874443e-03	2.499479322348126253e-03
1.855337673999999970e+04	7.482135974626095976e-03	1.001185220191687375e-02	2.529716227290777775e-03	1.253024742827099636e-02	5.048111453644900382e-03	2.518395226354122607e-03
1.854446532999999908e+04	7.604162870966928167e-03	1.016831727131656260e-02	2.564154400349634433e-03	1.270519733640378124e-02	5.101034465436853071e-03	2.536880065087218639e-03
1.853556275000000096e+04	7.728636263318086619e-03	1.032770515256652838e-02	2.599068889248441760e-03	1.288262053920527506e-02	5.153984275887188438e-03	2.554915386638746677e-03
1.852666901000000144e+04	7.855633823561754270e-03	1.049010657125245410e-02	2.634472747690699834e-03	1.306258916334916698e-02	5.206955339787412707e-03	2.572482592096712872e-03
1.851778408000000127e+04	7.985234199208698924e-03	1.065561335314769986e-02	2.670379153939000938e-03	1.324517650416070363e-02	5.259942304952004710e-03	2.589563151013003772e-03
1.850890796000000046e+04	8.117515764845484316e-03	1.082431684115600645e-02	2.706801076310522136e-03	1.343045533696121674e-02	5.312939572115732423e-03	2.606138495805210287e-03
1.850004061999999976e+04	8.252557222796608194e-03	1.099630867758199376e-02	2.743751454785385568e-03	1.361849885026952117e-02	5.365941627472912978e-03	2.622190172687527410e-03
1.849118206999999893e+04	8.390436257395307573e-03	1.117167910490905053e-02	2.781242847513742955e-03	1.380937885489963435e-02	5.418942597504326775e-03	2.637699749990583820e-03
1.848233227999999872e+04	8.531230440449302788e-03	1.135051813642336260e-02	2.819287695974059815e-03	1.400316713870182472e-02	5.471936698252521936e-03	2.652649002278462120e-03
1.847349123999999938e+04	8.675015982355142874e-03	1.153291398488894698e-02	2.857898002533804105e-03	1.419993382830143924e-02	5.524917845946296369e-03	2.667019843412492264e-03
1.846465894000000117e+04	8.821867682586560788e-03	1.171895302044074355e-02	2.897085337854182763e-03	1.439974742666418756e-02	5.577879744077626767e-03	2.680794406223444004e-03
