Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	5.482146832278608795e-12	7.771523697505733960e-04
1.998799624000000040e+04	6.661826628464167549e-12	8.083750368959732131e-04
1.997760411999999997e+04	8.087637295376906252e-12	8.407110760012356408e-04
1.996722313999999824e+04	9.809270803453409912e-12	8.741943128733850902e-04
1.995685327999999936e+04	1.188610875726749881e-11	9.088594444703765535e-04
1.994649451000000045e+04	1.438904162596895159e-11	9.447420271328885351e-04
1.993614682000000175e+04	1.740260825433405896e-11	9.818783851914660108e-04
1.992581019999999990e+04	2.102752870673937551e-11	1.020305685715692558e-03
1.991548461999999927e+04	2.538369296521971750e-11	1.060062028152525520e-03
1.990517007000000012e+04	3.061365344478428261e-11	1.101186307091701552e-03
1.989486652999999933e+04	3.688675748612296642e-11	1.143718335822005569e-03
1.988457398000000103e+04	4.440398408898336215e-11	1.187698821123873809e-03
1.987429239999999845e+04	5.340362128964993908e-11	1.233169374452454826e-03
1.986402178999999887e+04	6.416789627736760207e-11	1.280172429874885682e-03
1.985376210999999967e+04	7.703082359303506330e-11	1.328751527814077361e-03
1.984351335000000108e+04	9.238724399352463865e-11	1.378951009229586935e-03
1.983327549999999974e+04	1.107034856585750619e-10	1.430816156086509722e-03
1.982304853000000003e+04	1.325298250622574411e-10	1.484393307735657353e-03
1.981283242999999857e+04	1.585148942995484387e-10	1.539729668273054396e-03
1.980262718999999925e+04	1.894225685502124060e-10	1.596873412254006279e-03
1.979243277999999918e+04	2.261516623085928901e-10	1.655873811507556012e-03
1.978224918999999863e+04	2.697586203338291175e-10	1.716781020451252143e-03
1.977207640000000174e+04	3.214841036311870499e-10	1.779646254067333106e-03
1.976191439000000173e+04	3.827836992246653480e-10	1.844521741718739387e-03
1.975176314999999886e+04	4.553634679278620734e-10	1.911460668745428417e-03
1.974162266000000091e+04	5.412213069666967050e-10	1.980517312238748526e-03
1.973149290000000110e+04	6.426946153118109673e-10	2.051746988244150700e-03
1.972137385999999969e+04	7.625153005762226178e-10	2.125205985684594946e-03
1.971126551000000109e+04	9.038737695897259069e-10	2.200951790228204957e-03
1.970116785000000164e+04	1.070491675803645471e-09	2.279042722200458077e-03
1.969108084999999846e+04	1.266707328675864950e-09	2.359538392723188605e-03
1.968100449999999910e+04	1.497572262732175667e-09	2.442499329025482092e-03
1.967093878000000041e+04	1.768963678477856683e-09	2.527987213415235340e-03
1.966088366999999926e+04	2.087712886300107428e-09	2.616064812612878439e-03
1.965083915999999954e+04	2.461752489881148860e-09	2.706795891076918970e-03
1.964080523000000176e+04	2.900286199801152966e-09	2.800245390542102815e-03
1.963078186999999889e+04	3.413981844787997415e-09	2.896479253093350078e-03
1.962076904999999897e+04	4.015194631063184562e-09	2.995564711322553416e-03
1.961076675999999861e+04	4.718218602548995766e-09	3.097569907358304914e-03
1.960077497999999832e+04	5.539577757555765210e-09	3.202564184977225569e-03
1.959079371000000174e+04	6.498353887282340450e-09	3.310617777561450630e-03
1.958082290999999896e+04	7.616568709658529230e-09	3.421802455898593880e-03
1.957086258000000089e+04	8.919604918841569211e-09	3.536190662980368341e-03
1.956091269000000102e+04	1.043670151924510660e-08	3.653856287149382428e-03
1.955097323999999935e+04	1.220150022588951257e-08	3.774873972476560421e-03
1.954104420000000027e+04	1.425268417243690160e-08	3.899319827752242666e-03
1.953112556000000041e+04	1.663468370939284082e-08	4.027270825090472836e-03
1.952121730000000025e+04	1.939849118255611792e-08	4.158805165210536885e-03
1.951131941000000006e+04	2.260257219938430623e-08	4.294002016696646558e-03
1.950143187000000034e+04	2.631390749366443364e-08	4.432941778343629270e-03
1.949155466000000160e+04	3.060916196064602045e-08	4.575705948550232507e-03
1.948168777000000046e+04	3.557600155113741642e-08	4.722376970495571410e-03
1.947183118000000104e+04	4.131459295410434925e-08	4.873038516124968828e-03
1.946198487999999998e+04	4.793927324633839097e-08	5.027775182869897129e-03
