wavenumber	20°C	40°C	45°C	50°C
18806,54092	0,02569	0,03927	0,04325	0,04929
18797,37645	0,02577	0,03988	0,0437	0,04971
18788,22121	0,02579	0,04047	0,04394	0,05003
18779,07517	0,02582	0,04105	0,044	0,05026
18769,93832	0,0259	0,04162	0,04392	0,05044
18760,81066	0,02608	0,04217	0,04379	0,0506
18751,69216	0,02639	0,04271	0,04373	0,05083
18742,58282	0,02682	0,04324	0,04383	0,05117
18733,48261	0,02736	0,04377	0,04419	0,05167
18724,39153	0,02798	0,04431	0,04484	0,05235
18715,30956	0,02864	0,04485	0,04581	0,0532
18706,23669	0,02932	0,04542	0,04702	0,05419
18697,17291	0,02999	0,04602	0,04841	0,05525
18688,11819	0,03065	0,04665	0,04986	0,05633
18679,07253	0,0313	0,04731	0,05125	0,05739
18670,03592	0,03195	0,04802	0,05248	0,0584
18661,00833	0,03261	0,04877	0,0535	0,05937
18651,98976	0,03327	0,04956	0,05429	0,06033
18642,9802	0,03392	0,05039	0,05489	0,06132
18633,97962	0,03454	0,05126	0,05537	0,06236
18624,98802	0,03508	0,05216	0,05581	0,06348
18616,00538	0,03555	0,0531	0,05631	0,06467
18607,03169	0,03593	0,05406	0,05692	0,06587
18598,06694	0,03625	0,05504	0,05766	0,06703
18589,11111	0,03655	0,05604	0,05851	0,06807
18580,16418	0,03691	0,05704	0,05944	0,06893
18571,22616	0,03738	0,05806	0,06037	0,06957
18562,29702	0,03802	0,05909	0,06125	0,07001
18553,37674	0,03888	0,06012	0,06204	0,07029
18544,46533	0,03993	0,06116	0,06274	0,07053
18535,56275	0,04116	0,06221	0,06338	0,07082
18526,66901	0,04249	0,06326	0,06404	0,07128
18517,78408	0,04385	0,06434	0,0648	0,072
18508,90796	0,04519	0,06544	0,06573	0,07302
18500,04062	0,04644	0,06656	0,06689	0,07432
18491,18207	0,04759	0,06772	0,0683	0,07585
18482,33228	0,04867	0,06891	0,06991	0,07751
18473,49124	0,0497	0,07015	0,07168	0,0792
18464,65894	0,05074	0,07143	0,07352	0,08079
18455,83536	0,05182	0,07276	0,07534	0,08224
18447,0205	0,05297	0,07414	0,07709	0,08352
18438,21434	0,0542	0,07557	0,07872	0,08464
18429,41686	0,05548	0,07706	0,08025	0,08569
18420,62806	0,05679	0,0786	0,08171	0,08676
18411,84792	0,05811	0,08019	0,08315	0,08794
18403,07643	0,05942	0,08183	0,08463	0,08932
18394,31357	0,06075	0,08351	0,08619	0,09096
18385,55934	0,06213	0,08524	0,08787	0,09285
18376,81372	0,06362	0,08701	0,08963	0,09497
18368,07669	0,06525	0,08883	0,09147	0,09724
18359,34825	0,06707	0,09069	0,09334	0,09955
18350,62839	0,06908	0,0926	0,09519	0,10183
18341,91708	0,07125	0,09455	0,09702	0,10398
18333,21432	0,07353	0,09655	0,09884	0,10596
18324,52009	0,07584	0,09861	0,10068	0,10778
18315,83439	0,07811	0,10073	0,10262	0,10946
18307,1572	0,08029	0,10292	0,10471	0,11109
18298,4885	0,08237	0,10517	0,10703	0,11276
18289,82829	0,08436	0,10751	0,1096	0,11459
18281,17655	0,08633	0,10993	0,11245	0,11665
18272,53327	0,08835	0,11244	0,11553	0,11902
18263,89843	0,09049	0,11505	0,1188	0,12173
