fwhm	874.3768121211048-20°C	874.3768121211048-40°C	874.3768121211048-45°C	874.3768121211048-50°C
1.919996446999999898e+04	6.128219845223349498e-03	8.266640176405300536e-03	9.076669035280012302e-03	1.001180648412952449e-02
1.919039975000000049e+04	6.317246924041632593e-03	8.502173582854283956e-03	9.328606174372814502e-03	1.028192441355374465e-02
1.918084485000000132e+04	6.511168899005897841e-03	8.743263505835817059e-03	9.586304329528699819e-03	1.055800756647005088e-02
1.917129977000000144e+04	6.710083215501945648e-03	8.990008184040715680e-03	9.849861198470576465e-03	1.084015189311113639e-02
1.916176449000000139e+04	6.914089011880694344e-03	9.242507521273606377e-03	1.011937612024628799e-02	1.112845488470596937e-02
1.915223900000000140e+04	7.123286530412914486e-03	9.500862359557996767e-03	1.039494929860219387e-02	1.142301473577601173e-02
1.914272327999999834e+04	7.337777571242031296e-03	9.765175046705364473e-03	1.067668240807753861e-02	1.172393098630950849e-02
1.913321731999999975e+04	7.557665082287744196e-03	1.003554893624367811e-02	1.096467806093502119e-02	1.203130394541512306e-02
1.912372109999999884e+04	7.783053643191093114e-03	1.031208899072448386e-02	1.125904045056707117e-02	1.234523537153719985e-02
1.911423460999999952e+04	8.014049039611803940e-03	1.059490126591331252e-02	1.155987480244117724e-02	1.266582787902945616e-02
1.910475782999999865e+04	8.250758779618224542e-03	1.088409355256492184e-02	1.186728805759631501e-02	1.299318565915540472e-02
1.909529074000000037e+04	8.493291912432922655e-03	1.117977516169830522e-02	1.218138864404780773e-02	1.332741422739413747e-02
1.908583334000000104e+04	8.741758548831569248e-03	1.148205635135692536e-02	1.250228586888327102e-02	1.366861976843901719e-02
1.907638560000000143e+04	8.996271215971721538e-03	1.179104998669007129e-02	1.283009168151931501e-02	1.401691100225220879e-02
1.906694752000000153e+04	9.256943344611818364e-03	1.210686971018971533e-02	1.316491873156179493e-02	1.437239710893563165e-02
1.905751907999999821e+04	9.523890670187924387e-03	1.242963165546838965e-02	1.350688218771054806e-02	1.473518965124822645e-02
1.904810024999999951e+04	9.797231086788257132e-03	1.275945427673852266e-02	1.385609955535447961e-02	1.510540236743197588e-02
1.903869104000000152e+04	1.007708326534020350e-02	1.309645669538394945e-02	1.421268892659939900e-02	1.548314930474127549e-02
1.902929142000000138e+04	1.036356907038495610e-02	1.344076162861066251e-02	1.457677208106268087e-02	1.586854809390117124e-02
1.901990137999999934e+04	1.065681191602372777e-02	1.379249341899439936e-02	1.494847239949496052e-02	1.626171772399714194e-02
1.901052089999999953e+04	1.095693777694465611e-02	1.415177926437415079e-02	1.532791616452138482e-02	1.666277990582913995e-02
1.900114996999999858e+04	1.126407468913519054e-02	1.451874863234848059e-02	1.571523194133355589e-02	1.707185840182048192e-02
1.899178858000000037e+04	1.157835318727488787e-02	1.489353379926984348e-02	1.611055114678123720e-02	1.748907961252344281e-02
1.898243671000000177e+04	1.189990680138029375e-02	1.527627045532409938e-02	1.651400868632311308e-02	1.791457323191920567e-02
1.897309433999999965e+04	1.222887190421778278e-02	1.566709753406253514e-02	1.692574277221048709e-02	1.834847203717154471e-02
1.896376147000000128e+04	1.256538715926887491e-02	1.606615657247703957e-02	1.734589424859348666e-02	1.879091116021892535e-02
1.895443807000000015e+04	1.290959549420530976e-02	1.647359406658951975e-02	1.777460907042400021e-02	1.924203068000697112e-02
1.894512413000000015e+04	1.326164252714650063e-02	1.688955961576783793e-02	1.821203634658877940e-02	1.970197354079970473e-02
1.893581965000000127e+04	1.362167709500820487e-02	1.731420656601456026e-02	1.865832901600689500e-02	2.017088624531511790e-02
1.892652459000000090e+04	1.398985345279594658e-02	1.774769461366223697e-02	1.911364658020498972e-02	2.064892170321836959e-02
1.891723895999999877e+04	1.436632802958656523e-02	1.819018599139585537e-02	1.957815109175828003e-02	2.113623499436648526e-02
1.890796272999999928e+04	1.475126325250775139e-02	1.864184998149220202e-02	2.005201189100037917e-02	2.163298831899507224e-02
1.889869589999999880e+04	1.514482503374507683e-02	1.910285996782789403e-02	2.053540250557342461e-02	2.213934771945890584e-02
1.888943844000000172e+04	1.554718558597784246e-02	1.957339674519812875e-02	2.102850411650337981e-02	2.265548668810055122e-02
1.888019034000000102e+04	1.595852167158872195e-02	2.005364647042778489e-02	2.153150340249932945e-02	2.318158388160639419e-02
1.887095159000000058e+04	1.637901579458908574e-02	2.054380206224735994e-02	2.204459400101032793e-02	2.371782462507302999e-02
1.886172218000000066e+04	1.680885659766634399e-02	2.104406366435251571e-02	2.256797698494137500e-02	2.426440138251232531e-02
1.885250207999999839e+04	1.724824024990054966e-02	2.155464025536580480e-02	2.310186253712116083e-02	2.482151547560002003e-02
1.884329130000000077e+04	1.769736805060719703e-02	2.207574685790688468e-02	2.364646702163992337e-02	2.538937399778962850e-02
1.883408980000000156e+04	1.815645122779664319e-02	2.260761010236072427e-02	2.420201878938724183e-02	2.596819584067371761e-02
1.882489758000000074e+04	1.862570708846045600e-02	2.315046374428477924e-02	2.476875347996662993e-02	2.655820676292654572e-02
1.881571462999999858e+04	1.910536197009498477e-02	2.370455207216583954e-02	2.534691756975194707e-02	2.715964305878901253e-02
1.880654091999999946e+04	1.959565241328133783e-02	2.427013123479630774e-02	2.593676974006927163e-02	2.777275294626497040e-02
1.879737644999999975e+04	2.009682312795230824e-02	2.484746686627505030e-02	2.653857838319896231e-02	2.839779394109131008e-02
1.878822120999999970e+04	2.060912971127467144e-02	2.543683719222615200e-02	2.715262482544653078e-02	2.903503617623451674e-02
1.877907517000000007e+04	2.113283996547624805e-02	2.603853450214353715e-02	2.777920483973176508e-02	2.968476393512378686e-02
1.876993832000000111e+04	2.166823237370403207e-02	2.665286335006531240e-02	2.841862674951581291e-02	3.034727364990922813e-02
1.876081065999999919e+04	2.221559732316416569e-02	2.728014191344213524e-02	2.907121282325992456e-02	3.102287531764154338e-02
1.875169215999999869e+04	2.277524030345829537e-02	2.792070559841670907e-02	2.973730300030184154e-02	3.171189632363702327e-02
1.874258281999999963e+04	2.334747913308027681e-02	2.857490379302293076e-02	3.041725148616727936e-02	3.241467788269063871e-02
1.873348260999999911e+04	2.393264850776818595e-02	2.924310499610395173e-02	3.111143205688153904e-02	3.313158049195245175e-02
1.872439153000000078e+04	2.453109713368899908e-02	2.992569345377152704e-02	3.182023453200497065e-02	3.386298025199611234e-02
1.871530956000000151e+04	2.514319184826648360e-02	3.062307377116446627e-02	3.254406953330740010e-02	3.460927374967004422e-02
1.870623669000000154e+04	2.576931666488067874e-02	3.133566971463105921e-02	3.328336720457043818e-02	3.537087670294114528e-02
1.869717291000000114e+04	2.640987442843151581e-02	3.206392598308742403e-02	3.403857901316255374e-02	3.614822578824335164e-02
1.868811819000000105e+04	2.706528933974121018e-02	3.280831094842764223e-02	3.481018055098199226e-02	3.694178149137350431e-02
1.867907253000000128e+04	2.773600448041409899e-02	3.356931370321186714e-02	3.559866843094659783e-02	3.775202488481534807e-02
1.867003591999999844e+04	2.842248575932830937e-02	3.434744839416523088e-02	3.640456473539688959e-02	3.857946217765326896e-02
1.866100833000000057e+04	2.912522396474752362e-02	3.514325637837643901e-02	3.722841919934430366e-02	3.942462692600969681e-02
1.865198976000000039e+04	2.984473213374489245e-02	3.595730306402269982e-02	3.807080588867775561e-02	4.028807659842259525e-02
1.864298020000000179e+04	3.058154981890229621e-02	3.679018255267666598e-02	3.893232795451984779e-02	4.117039743289719472e-02
1.863397961999999825e+04	3.133624531690995529e-02	3.764251994638488641e-02	3.981361996147434607e-02	4.207220679489886289e-02
1.862498802000000069e+04	3.210941284525204581e-02	3.851496793513329436e-02	4.071534429960701335e-02	4.299414948427473376e-02
1.861600537999999869e+04	3.290167803011402603e-02	3.940821275821598801e-02	4.163819728735079079e-02	4.393690396395345116e-02
1.860703168999999980e+04	3.371369675419919054e-02	4.032297264775489692e-02	4.258290749704188305e-02	4.490118062986482583e-02
1.859806694000000061e+04	3.454615738308133149e-02	4.126000007048026552e-02	4.355023800437232695e-02	4.588772409753329867e-02
1.858911111000000164e+04	3.539978315206210313e-02	4.222008412774547192e-02	4.454098879545195094e-02	4.689731564576769818e-02
1.858016417999999976e+04	3.627533274489629783e-02	4.320405090143115967e-02	4.555599704945176992e-02	4.793077349420812178e-02
1.857122615999999834e+04	3.717359870481685979e-02	4.421276135329148260e-02	4.659613489795092628e-02	4.898895052172765052e-02
1.856229702000000179e+04	3.809541582093325940e-02	4.524712041101719429e-02	4.766231871771380024e-02	5.007274372334247214e-02
1.855337673999999970e+04	3.904165778765487926e-02	4.630807285688241098e-02	4.875550480636089284e-02	5.118308980416663018e-02
1.854446532999999908e+04	4.001323634697209752e-02	4.739660200416041802e-02	4.987668793838671843e-02	5.232096372512390348e-02
1.853556275000000096e+04	4.101111140564292490e-02	4.851374064969016936e-02	5.102691256151462018e-02	5.348739007695850478e-02
1.852666901000000144e+04	4.203628160640462963e-02	4.966056010771576629e-02	5.220726141263519471e-02	5.468343153711826415e-02
1.851778408000000127e+04	4.308979581006691650e-02	5.083818264806772708e-02	5.341886823418055819e-02	5.591020178120470474e-02
1.850890796000000046e+04	4.417274655101758457e-02	5.204777373925105477e-02	5.466290969595614252e-02	5.716885731192705711e-02
1.850004061999999976e+04	4.528627858377465287e-02	5.329055115315702723e-02	5.594061466717550196e-02	5.846060686724582900e-02
1.849118206999999893e+04	4.643158164309978131e-02	5.456777641926063849e-02	5.725325533167036074e-02	5.978670245771063735e-02
1.848233227999999872e+04	4.760990184922176544e-02	5.588076707811827359e-02	5.860215968719639790e-02	6.114845203004626306e-02
1.847349123999999938e+04	4.882253544932779743e-02	5.723088920877916763e-02	5.998870376316927516e-02	6.254721162994718309e-02
1.846465894000000117e+04	5.007083254751543144e-02	5.861956109209495724e-02	6.141431528602471490e-02	6.398438914110120279e-02
1.845583536000000095e+04	5.135619977720889962e-02	6.004825567436020833e-02	6.288047610627250927e-02	6.546144676733597900e-02
1.844702049999999872e+04	5.268009708001070157e-02	6.151849647029045132e-02	6.438871789197517237e-02	6.697989673346782524e-02
1.843821433999999863e+04	5.404404458269406603e-02	6.303186468257004904e-02	6.594062933278671546e-02	6.854130858517099023e-02
1.842941686000000118e+04	5.544962078970435554e-02	6.458999665712289451e-02	6.753785342419019178e-02	7.014730649411930752e-02
1.842062805999999910e+04	5.689846011591206953e-02	6.619458061935222515e-02	6.918208402227633835e-02	7.179956584465778391e-02
1.841184792000000016e+04	5.839226003923673330e-02	6.784736406715580204e-02	7.087507332158192452e-02	7.349982080239900184e-02
1.840307643000000098e+04	5.993277692806865675e-02	6.955014860958755318e-02	7.261862646515009068e-02	7.524985894692499955e-02
1.839431356999999844e+04	6.152182997368797063e-02	7.130479378285987935e-02	7.441460535542906984e-02	7.705152515243121614e-02
1.838555933999999979e+04	6.316129616462130836e-02	7.311321097012873915e-02	7.626492233474090054e-02	7.890671530256651578e-02
1.837681371999999828e+04	6.485311778187571874e-02	7.497737115360396387e-02	7.817154802680466308e-02	8.081738421306329523e-02
1.836807669000000169e+04	6.659929904610670248e-02	7.689930068919648143e-02	8.013650691910464974e-02	8.278554125412249109e-02
1.835934824999999910e+04	6.840190185869635120e-02	7.888107612025709037e-02	8.216187197564821243e-02	8.481324501503902102e-02
1.835062839000000167e+04	7.026305137176956650e-02	8.092482982360624244e-02	8.424977032864935933e-02	8.690260906607735758e-02
1.834191707999999926e+04	7.218493812405740728e-02	8.303275186229061577e-02	8.640238508645464721e-02	8.905580381851996297e-02
1.833321431999999913e+04	7.416980656224733681e-02	8.520707693000985350e-02	8.862194192408839877e-02	9.127504316611996515e-02
1.832452009000000180e+04	7.621996505540844236e-02	8.745009490544167208e-02	9.091071979470247144e-02	9.356259525896137852e-02
1.831583438999999998e+04	7.833777570137372137e-02	8.976413927473400611e-02	9.327103904838097981e-02	9.592077067988052930e-02
1.830715720000000147e+04	8.052566247622738871e-02	9.215159566192206164e-02	9.570527007958389010e-02	9.835193114164166028e-02
1.829848849999999948e+04	8.278610525369636819e-02	9.461489491972180366e-02	9.821582622388567996e-02	1.008584824376946715e-01
1.828982829000000129e+04	8.512163258359388418e-02	9.715650494248680158e-02	1.008051553727170313e-01	1.034428661225790663e-01
1.828117655000000013e+04	8.753483011103060929e-02	9.977893955078380450e-02	1.034757489926238228e-01	1.061075685644773808e-01
1.827253326999999990e+04	9.002833043739962016e-02	1.024847471950310757e-01	1.062301305861581141e-01	1.088551094705810518e-01
1.826389843000000110e+04	9.260481617407077815e-02	1.052765140592830939e-01	1.090708588329740852e-01	1.116880450626407117e-01
1.825527203999999983e+04	9.526700509021189534e-02	1.081568477980678622e-01	1.120005110310780816e-01	1.146089516013000659e-01
1.824665406000000075e+04	9.801767140388792376e-02	1.111284004554459470e-01	1.150217064096343972e-01	1.176204486645022612e-01
1.823804449999999997e+04	1.008596115346995087e-01	1.141938313336400695e-01	1.181370683704538460e-01	1.207251615309655746e-01
1.822944332999999824e+04	1.037956689148656353e-01	1.173558337777292210e-01	1.213492517415529492e-01	1.239257483728151976e-01
1.822085054999999920e+04	1.068287071876383165e-01	1.206171062761911272e-01	1.246609134322745061e-01	1.272248710287689766e-01
1.821226613999999972e+04	1.099616227448789868e-01	1.239803660518867118e-01	1.280747262827801602e-01	1.306252088197248640e-01
1.820369009000000005e+04	1.131973298735394762e-01	1.274483332073903241e-01	1.315933630107915531e-01	1.341294425634113607e-01
1.819512240000000020e+04	1.165387552861121279e-01	1.310237250743748472e-01	1.352194905459068175e-01	1.377402489370338212e-01
1.818656304000000091e+04	1.199888486863331244e-01	1.347092677516952552e-01	1.389557818005441037e-01	1.414603121941175323e-01
1.817801199999999881e+04	1.235505581489681620e-01	1.385076700500947888e-01	1.428048893246532669e-01	1.452922979199599007e-01
1.816946928000000116e+04	1.272268274123949383e-01	1.424216210221971035e-01	1.467694429113231280e-01	1.492388506355674105e-01
1.816093485000000146e+04	1.310206071823099838e-01	1.464538024109936221e-01	1.508520623100821356e-01	1.533026064298760593e-01
1.815240871999999945e+04	1.349348183168263549e-01	1.506068499706834096e-01	1.550553181728736019e-01	1.574861540548887773e-01
1.814389085999999952e+04	1.389723807892007945e-01	1.548833848062272922e-01	1.593817639172781520e-01	1.617920666059054491e-01
1.813538127000000168e+04	1.431361750234788899e-01	1.592859729533837587e-01	1.638338949571697400e-01	1.662228608996830503e-01
1.812687992999999915e+04	1.474290580804964723e-01	1.638171432293010210e-01	1.684141669223688798e-01	1.707810155587127232e-01
1.811838682999999946e+04	1.518538419557861063e-01	1.684793650150770428e-01	1.731249733536885382e-01	1.754689487559248362e-01
1.810990194999999949e+04	1.564132960442206899e-01	1.732750516695920895e-01	1.779686493327078400e-01	1.802890217635245707e-01
1.810142529999999897e+04	1.611101175937197372e-01	1.782065303267581224e-01	1.829474411672384893e-01	1.852435087155788751e-01
1.809295684999999867e+04	1.659469616339208642e-01	1.832760742908997320e-01	1.880635393074402972e-01	1.903346292862140299e-01
1.808449658999999883e+04	1.709264002725779108e-01	1.884858612506124798e-01	1.933190363602775852e-01	1.955645068248399454e-01
1.807604450999999972e+04	1.760509247839885105e-01	1.938379765799247423e-01	1.987159306569065420e-01	2.009351718155913402e-01
1.806760060000000158e+04	1.813229369480525432e-01	1.993344053983999720e-01	2.042561184779360939e-01	2.064485540433445565e-01
1.805916485000000102e+04	1.867447402418255242e-01	2.049770245497804511e-01	2.099413862097827821e-01	2.121064746848171922e-01
1.805073723999999856e+04	1.923185376123732471e-01	2.107676014820540067e-01	2.157734094632176858e-01	2.179106453225664319e-01
1.804231777000000147e+04	1.980464026946191780e-01	2.167077656070302283e-01	2.217537244865345203e-01	2.238626393800370873e-01
1.803390641999999934e+04	2.039302971512543805e-01	2.227990276475755316e-01	2.278837479229327279e-01	2.299639116641002679e-01
1.802550316999999995e+04	2.099720488511567229e-01	2.290427583238426323e-01	2.341647556181118417e-01	2.362157771489612479e-01
1.801710802999999942e+04	2.161733202252572872e-01	2.354401571135911753e-01	2.405978514904139887e-01	2.426193798591122219e-01
1.800872096999999849e+04	2.225356498725402365e-01	2.419922966808260023e-01	2.471840125112164666e-01	2.491757375070199898e-01
1.800034199000000081e+04	2.290603921515352581e-01	2.487000620267460216e-01	2.539240278091358660e-01	2.558856807383510512e-01
1.799197106999999960e+04	2.357487454786134085e-01	2.555641811981976819e-01	2.608185298500801941e-01	2.627498840271589309e-01
1.798360820999999851e+04	2.426017121141242905e-01	2.625851855120946987e-01	2.678679547805538630e-01	2.697688260498816715e-01
1.797525337999999829e+04	2.496201296791750734e-01	2.697634434520010394e-01	2.750725767794131027e-01	2.769428237389130465e-01
1.796690657999999894e+04	2.568046131798815135e-01	2.770991028812231916e-01	2.824324503534004771e-01	2.842719746764594824e-01
1.795856780000000072e+04	2.641555789411761945e-01	2.845921172214662120e-01	2.899474369463699297e-01	2.917561834344025717e-01
1.795023702000000048e+04	2.716732372092097725e-01	2.922422394657863132e-01	2.976171992361278384e-01	2.993951557438397915e-01
1.794191423999999824e+04	2.793575569862316033e-01	3.000489880193580317e-01	3.054411672034834657e-01	3.071883645459466128e-01
1.793359944000000178e+04	2.872082941960776847e-01	3.080116770110671309e-01	3.134185688411932347e-01	3.151350804220172663e-01
1.792529261000000042e+04	2.952249568763608001e-01	3.161293825413195036e-01	3.215483966371942004e-01	3.232343380549119183e-01
1.791699374000000171e+04	3.034068067978375471e-01	3.244009460048484228e-01	3.298294112278236656e-01	3.314849397114660867e-01
1.790870281999999861e+04	3.117528525283742580e-01	3.328249686984814382e-01	3.382601363103734937e-01	3.398854500205713558e-01
1.790041982999999891e+04	3.202618532681884567e-01	3.413998172714737267e-01	3.468388643993501330e-01	3.484342015588173247e-01
1.789214476999999897e+04	3.289322820177444928e-01	3.501235881829131702e-01	3.555636215679189860e-01	3.571292595665810365e-01
1.788387762999999904e+04	3.377623502262722122e-01	3.589941341493786964e-01	3.644321942140686943e-01	3.659684484716954622e-01
1.787561837999999989e+04	3.467500146232641023e-01	3.680090724290965842e-01	3.734421376095354850e-01	3.749493602733426911e-01
