Wavenumber	Minor Gaussian	Major Gaussian
1.999839949999999953e+04	2.027776643773274906e-12	3.240710376004308471e-04
1.998799624000000040e+04	2.486618478482150972e-12	3.384630232937965266e-04
1.997760411999999997e+04	3.046231958953281328e-12	3.534297072821847448e-04
1.996722313999999824e+04	3.728057919104753026e-12	3.689910853934368876e-04
1.995685327999999936e+04	4.557948983692531061e-12	3.851677561936296939e-04
1.994649451000000045e+04	5.567045075560145241e-12	4.019809223075381465e-04
1.993614682000000175e+04	6.792812912466453623e-12	4.194523540460735542e-04
1.992581019999999990e+04	8.280286684484476481e-12	4.376044306035545154e-04
1.991548461999999927e+04	1.008354468396432183e-11	4.564601891624520363e-04
1.990517007000000012e+04	1.226745219470965114e-11	4.760432667510620442e-04
1.989486652999999933e+04	1.490973944127841757e-11	4.963779654376845440e-04
1.988457398000000103e+04	1.810345645000909985e-11	5.174892473670855740e-04
1.987429239999999845e+04	2.195987931752335511e-11	5.394027470563337017e-04
1.986402178999999887e+04	2.661193550059630193e-11	5.621447385900835061e-04
1.985376210999999967e+04	3.221828572036231293e-11	5.857422798895785179e-04
1.984351335000000108e+04	3.896807824424992131e-11	6.102230721435508059e-04
1.983327549999999974e+04	4.708659430062570161e-11	6.356155346223941712e-04
1.982304853000000003e+04	5.684190140503099646e-11	6.619488692195316234e-04
1.981283242999999857e+04	6.855262214547576310e-11	6.892529735356798127e-04
1.980262718999999925e+04	8.259710602644082924e-11	7.175584997935071209e-04
1.979243277999999918e+04	9.942421262859341031e-11	7.468969254567204121e-04
1.978224918999999863e+04	1.195658569365172095e-10	7.773004544905589858e-04
1.977207640000000174e+04	1.436518059216864026e-10	8.088021132620159355e-04
1.976191439000000173e+04	1.724269245897053313e-10	8.414357354953705230e-04
1.975176314999999886e+04	2.067713055068244157e-10	8.752359404896271813e-04
1.974162266000000091e+04	2.477238611595466720e-10	9.102382092455969321e-04
1.973149290000000110e+04	2.965097498100578925e-10	9.464788660121789066e-04
1.972137385999999969e+04	3.545722857057578825e-10	9.839950524054342541e-04
1.971126551000000109e+04	4.236103087684224015e-10	1.022824849653793155e-03
1.970116785000000164e+04	5.056211120794663400e-10	1.063007101335753084e-03
1.969108084999999846e+04	6.029510717806199864e-10	1.104581655296302560e-03
1.968100449999999910e+04	7.183535257982156350e-10	1.147589179305414341e-03
1.967093878000000041e+04	8.550565383353959376e-10	1.192071292261474846e-03
